"","","commenced","","","","Injured","Missing","","","நிறுவனங்களின்","","","","","",""
"gpuNjr nra.gp     DS","","","FLk;gq;fs;","egHfs;","","","","KOik","gFjpasT","","","fl;likg;Gf;fs;","","vz;zpf;i","FLk;gq;f","egHfs;"
"மாவட்டம் District","","","Families","People","","People","People","","Partially","சேதங்கள்; Small,","","Damages to","","f   No.","s;","Persons"
"Division","","","","","","","","Fully","","","","","","","",""
"","","","","","","","","","","Medium,","","critical","","of Safety","Families",""
"","","","","","","","","","","Enterprises","","Infrastructure","","Locations","",""
"","","","","","","","","","","Damages","","","","","",""
"Mundalama","","2024.11.03","238","932","","","","","","","","","","","",""
"Naththandiya","","2024.11.08","112","331","","","","","3","","17","","","","",""
"පුත්තලම","","","","","","","","","","","","","","","",""
"Mahawewa","","2024.11.08","46","162","","","","","","","","","","","",""
"Gj;jsk;    
1","Flood","","","","","","","","","","","","","","",""
"වයඹ පලාත","","","","","","","","","","","","","","","",""
"Puttalam
Wennappuwa","","2024.11.18","10","31","","","","","","","","","","","",""
"tlNky; khfhzk","","","","","","","","","","","","","","","",""
";North Western
Arachchikattuwa","","2024.11.19","7","22","","","","","","","","","","","",""
"Kalpitiya","","2024.11.18","114","422","","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","527","1900","0","0","0","0","3","","17","","0","0","0","0"
"පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","","","527","1900","0","0","0","0","3","","17","","0","0","0","0"
"","Cutting Faliure","2024.11.18","1","4","","","","","","","","","","","",""
"රත්නපුර                 
Balangoda","","","","","","","","","","","","","","","",""
"2
,uj;jpdGhp","Tree Fallen","2024.11.19","1","6","","","","","1","","","","","","",""
"Rathnapura","","","","","","","","","","","","","","","",""
"Nivithigala","Heavy Rain & Wind","2024.11.19","1","1","","","","","1","","","","","","",""
"දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","3","11","0","0","0","0","2","","0","","0","0","0","0"
"","Heavy Rain","","1","3","","","","","1","","","","","","",""
"Rambukkana","","2024.11.19","","","","","","","","","","","","","",""
"","Tree Fallen","","1","2","","","","","1","","","","","","",""
"Dehiovita","Cutting Faliure","2024.11.19","1","1","","","","","1","","","","","","",""
"Warakapola","Lightning","2024.11.19","1","4","","","","","1","","","","","","",""
"ස්ත්‍බරගමුව පලාත","","","","","","","","","","","","","","","",""
"","Cutting Faliure","","4","16","","","","","4","","","","","","",""
"rg;ufKt","","","","","","","","","","","","","","","",""
"කෑගල්ල          
Deraniyagala","Tree Fallen","2024.11.19","1","3","","","","","1","","","","","","",""
"Sabaragamuwa","","","","","","","","","","","","","","","",""
"Nffhiy      
3","","","","","","","","","","","","","","","",""
"","High Wind","","2","7","","","","","2","","","","","","",""
"Kegalle","","","","","","","","","","","","","","","",""
"","Flash Flood","2024.11.18","","","","","","","","","3","","","","",""
"Bulathkohupitiya","","","","","","","","","","","","","","","",""
"","Cutting Faliure","2024.11.19","9","35","","","","","3","","","","","","",""
"Kegalle","Tree Fallen","2024.11.19","1","4","","","","","1","","","","","","",""
"","Cutting Faliure","2024.11.18","1","2","","","","","1","","","","","","",""
"Yatiyanthota","","","","","","","","","","","","","","","",""
"","High Wind","2024.11.18 & 19","3","9","","","","","3","","","","","","",""
"දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","25","86","0","0","0","0","19","","3","","0","0","0","0"
"පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","","","28","97","0","0","0","0","21","","3","","0","0","0","0"
"Kaytes","","2024.11.20","2","8","","","","","1","","","","","","",""
"යාපනය","Flash Flood","","","","","","","","","","","","","","",""
"4
aho;g;ghzk;    
Point Pedro","","","10","35","","","","","8","","","","","","",""
"උතුරු පලාත","","","","","","","","","","","","","","","",""
"Jaffna","","","","","","","","","","","","","","","",""
"tl khfhzk; 
Nallur","Lightning","2024.11.20","1","3","","","","","1","","","","","","",""
"Northen ;","","","","","","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","13","46","0","0","0","0","10","","0","","0","0","0","0"
"පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","","","13","46","0","0","0","0","10","","0","","0","0","0","0"
"මාතර","","","","","","","","","","","","","","","",""
"khj;jiw   
5
Akuressa
දකුනු පලාත","Drownng","2024.11.20","","","","","1","","","","","","","","",""
"Matara","","","","","","","","","","","","","","","",""
"njd; khfhzk;","","","","","","","","","","","","","","","",""
