"","Weather Forecast for Main Cities","","","Date :","2024-09-30"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","35","25","90","50","Showers or thundershowers after 2.00p.m"
"Batticaloa","31","26","95","70","Showers or thundershowers after 2.00p.m"
"Colombo","30","24","95","60","Showers or thundershowers after 2.00p.m"
"Galle","29","25","95","80","Showers or thundershowers after 2.00p.m"
"Jaffna","35","25","85","70","Showers or thundershowers after 2.00p.m"
"Kandy","29","22","95","60","Showers or thundershowers after 2.00p.m"
"Nuwara-Eliya","18","15","95","60","Showers or thundershowers after 2.00p.m"
"Ratnapura","28","23","95","70","Showers or thundershowers after 2.00p.m"
"Trincomalee","32","27","85","70","Showers or thundershowers after 2.00p.m"
"Mannar","34","26","95","60","Showers or thundershowers after 2.00p.m"
