"Date/Time","Position","Maximum wind speed","Category of cyclonic"
"(SLST) (Hrs)","(Lat. oN/ Long.","(Kmph)","disturbance"
"","oE)","",""
"","7.2/82.4","","Deep Depression"
"26.11.24/1730","","55-65 gusting to 75",""
"27.11.24/0530","8.2/82.0","55-65 gusting to 75","Deep Depression"
"27.11.24/1730","9.3/81.7","60-70 gusting to 80","Cyclonic Storm"
"28.11.24/0530","10.2/81.5","65-75 gusting to 85","Cyclonic Storm"
"28.11.24/1730","11.0/81.4","65-75 gusting to 85","Cyclonic Storm"
"29.11.24/1800","11.8/81.3","65-75 gusting to 85","Cyclonic Storm"
