"Ganga Ihala Korale","Tree Fallen","2022.10.03","1","6","","","","","1","","","","",""
"Meda Dumbara","Rock Fallen","2022.10.03","1","2","","","","","1","","","","",""
"Akurana","Heavy Rain & Wind","2022.10.13","1","5","","","","","1","","","","",""
"නුවර","","","","","","","","","","","","","",""
"12
fz;b            
Harispaththu","Heavy Rain & Wind","2022.10.14","1","5","","","","","1","","","","",""
"මධ්‍යම පලොත","","","","","","","","","","","","","",""
"Kandy","","","","","","","","","","","","","",""
"kj;jpa","","","","","","","","","","","","","",""
"Gangawata Korale","Heavy Rain & Wind","2022.10.15","3","13","","","","","3","","","","",""
"khfhzk;","","","","","","","","","","","","","",""
"Udapalatha","Cutting Failure","2022.10.15","1","4","","","","","1","","","","",""
"Central","","","","","","","","","","","","","",""
"Yatinuwara","Tree Fallen","2022.10.16","1","4","","","","","1","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","9","39","0","0","0","0","9","0","0","0","0","0"
"පළොත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","9","39","0","0","0","0","9","0","0","0","0","0"
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","","7417","30634","3","4","0","7","338","15","2","16","308","1314"
"","","","","","ආපදො කළම ොකරණ මධ්‍යස්ත්‍රථො ය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre","","","","","","","","",""
