"","","Welimada","","","31","95","","","","","31"
"","","Passara","","","7","30","","","","","7"
"","","Uwaparanagama","","","60","223","","","","","60"
"","","Kandeketiya","","","5","10","","","","","5"
"","","Meegahakiula","","","3","8","","","","","3"
"","බදුල්ල","Haldumulla","","","17","67","","","","","17"
"12","gJs;is","","High Wind","2025.05.30","","","","","","",""
"ඌව","","Ella","","","8","20","","","","","7"
"","Badulla","","","","","","","","","",""
"Cth khfhzk;","","","","","","","","","","",""
"Uva","","Ridimaliyadda","","","4","13","","","","","4"
"","","Bandarawela","","","1","3","","","","","1"
"","","Mahiyanganaya","","","5","18","","","","","5"
"","","Haputale","","","5","22","","","","","5"
"","","Haliela","","","7","32","","","","","7"
"","දිස්ික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","","153","541","0","0","0","0","152"
