"","දදනික තත්ත්ව වාර්තාව- ශ්‍රී ලංකාව/epiyik mwpf;if-,yq;if/Situation Report- Sri Lanka දිනය/jpfjp /Date 30th","","","","","","May 2025 at 1800hrs","","","","","","","",""
"","","","","","","බලපෑමට ලක්වු","","","","","නිවාස්ත්‍ හානි Nrjkile;j","","","",""
"","","පරිපාලන ප්‍රලද්ශය நிர்வாகப் பிரிவு","","","","","","","","","","ලවනත් හානි பிற பாதிப்புகள்","","ආරක්ිත ස්ත්‍රථාන ghJfhg;ghd",""
"","","","","","","ghjpf;fg;gl;l","","","","","tPLfs; Houses","","","",""
"","","Administrative purview","","","","Affected","","","","අතුරුදහ","","Other Damages","","miktplk; Safe Location",""
"","","","","","","","","","තුවාලවු","","Damaged","","","",""
"","","","","","","","","","","න්වූ","","","","",""
"","","","","ආරම්භක දිනය","","","","","පුද්ගලයි","","","","","",""
"","","","","","","","","","","පුද්ගලයින්","","කුඩා හා මධය","","",""
"","","","ආපදාව","mdu;j;jk;","","","","මිය යෑම්","න්","","","ඉතා වැදගත්","","",""
"පළාත khfhzk;","","","","","","","","kuzq;f","fhaki","","","පරිමාණ වයාපාරික","ආරක්ිත","","ලවනත් කරුණු                 NtW"
"","#","","mdHj;jk","Muk;gpj;j jpfjp","","","","","","fhzhk","","යටිතල පහසුකම්","","",""
"","","","","","","","","s;","le;NjhH","","","ස්ත්‍
රථාන சிறிய,","ස්ත්‍","රථාන  
පවුේ","Fwpg;Gf;fs; Remarks"
"Province","","ප්‍රා.ලේ. ලකා","","","","","","","","y;NghNd","අර්ධ හානි","වලට වූ හානි","","",""
"","","","Disaster","Date of","පවුේ ස්ත්‍ංඛ්‍යාව","","පුද්ගලයින්","Deaths","","පූර්ණ හානි","","நடுத்தர,","ස්ත්‍ංඛ්‍යාව","පුද්ගලයින් 
ස්ත්‍ංඛ්‍යාව",""
"","","දිස්ත්‍රික්කය","","","","","","","","hH","gFjpas","mbg;gilf; 
நிறுவனங்களின்","","",""
"","","gpuNjr nra.gp     DS","","commenced","FLk;gq;fs;","","egHfs;","","Injured","KOik","","","vz;zpf;i","egHfs; 
FLk;gq;f",""
"","","மாவட்டம் District","","","","","","","","Missing","T","fl;likg;Gf;fs; 
சேதங்கள்; Small,","","",""
"","","","","","Families","","People","","People","Fully","","","f   No.","s; 
Persons",""
"","","Division","","","","","","","","People","Partially","Damages to 
Medium,","","",""
"","","","","","","","","","","","","","of Safety","Families",""
"","","","","","","","","","","","","critical 
Enterprises","","",""
"","","","","","","","","","","","","","Locations","",""
"","","","","","","","","","","","","Infrastructure
Damages","","",""
"","","Arachchikattuwa","","","2","","6","","","","2","","","",""
"","","Nattandiya","","","14","","50","","","","13","","","",""
"","","chilow","","","15","","64","","","","15","","","",""
"","","Dankotuwa","","","7","","27","","","","7","","","",""
"","","Mundalama","","","28","","92","","","","28","","","",""
"","","Mahawewa","","","1","","4","","","","1","","","",""
"","","පුත්තලම     
Wennappuwa","","","4","","17","","","","4","","","",""
"","1","","High Wind/Tree Fallen","2025.05.30","","","","","","","","","","",""
"වයඹ පලාත","","Gj;jsk;  Puttalam","","","","","","","","","","","","",""
"tlNky; khfhzk;","","Madampe","","","7","","26","","","","6","","","",""
"North Western","","Mahakumbukkadawala","","","69","","226","","","","69","","","",""
"","","Pallama","","","20","","86","","","","20","","","",""
"","","Nawagattegama","","","4","","16","","","","4","","","",""
"","","Puttalama","","","1","","4","","","","1","","","",""
"","","Anamaduwa","","","17","","53","","","","17","","","",""
"","","Wanatavilluwa","","","1","","6","","","","1","","","",""
"","","දිස්ික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","190","","677","0","0","0
0","188","0
0","","0
0
0",""
"","","පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","","","190","","677","0","0","0
0","188","0
0","","0
0
0",""
"","","Hambanthota","","2025.05.19","1","","1","","","","1","","","",""
"","","","","2025.05.30","1","","2","","","","1","","","",""
"","","Katuwana","","2025.05.27","4","","13","","","","4","","","",""
"","","","","","3","","11","","","","3","","","",""
"","","හම්බනකතාට","","","","","","","","","","","","",""
"","2","Walassmulla
`k;ghe;Njhl;il","High Wind","2025.05.28","1","","7","","","","1","","","",""
"","","Hambantota","","","1","","4","","","","1","","","",""
"","","Thangalla","","","","","","","","","","","","",""
"","","","","2025.05.29","3","","12","","","","3","","","",""
"දකුණු පලාත","","Weeraketiya","","2025.05.28","1","","4","","","","1","","","",""
"njd; khfhzk;","","","","","","","","","","","","","","",""
"","","Agunakolapelessa","","2025.05.25","1","","3","","","","1","","","",""
"Southern","","","","","","","","","","","","","","",""
"","","දිස්ික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","16","","57","0","0","0
0","16","0
0","","0
0
0",""
"","","Niyagama","","2025.05.30","1","","3","","","","1","","","",""
"","","ගාල්ල                
Ratngama","","2025.05.29","1","","5","","","","1","","","",""
"","3","fhyp","Tree fallen","","","","","","","","","","","",""
"","","Nagoda
Galle","","2025.05.30","1","","5","","","","1","","","",""
"","","Yakkalamulla","","2025.05.29","","","","","","","","1","","",""
"","","දිස්ික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","3","","13","0","0","0
0","3","0
1","","0
0
0",""
"","","පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","","","19","","70","0","0","0
0","19","0
1","","0
0
0",""
"","","Beruwala","","2025.05.30","25","","102","","","","25","","","",""
"","","Kaluthara","","2025.05.30","5","","16","","","","4","","","",""
"","","Matugama","","2025.05.29","5","","19","","","","5","","","",""
"","","කළුතර    
Dodangoda","","2025.05.30","4","","10","","","","4","","","",""
"","4","fSj;Jiw","High Wind","","","","","","","","","","","",""
"","","Bulathsighala
Kalutara","","2025.05.29","1","","","","","","","","","",""
"","","Palindanuwara","","2025.05.30","1","","3","","","","1","","","",""
"","","Walallavita","","2025.05.30","4","","13","","","","4","","","",""
"","","Ingiriya","","2025.05.29","21","","78","","","","21","","","",""
"","","දිස්ික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","66","","241","0","0","0
0","64","0
0","","0
0
0",""
"Western","","Homagama","High Wind/Lightning","2025.05.25/26","26","","106","","","","26","","","",""
"Nky; khfhzk","","","","","","","","","","","","","","",""
"බස්නාහිර පලාත","","","","2025.05.26/27/28","11","","47","","","","11","","","",""
"","","Kaduwela","High Wind","","","","","","","","","","","",""
"","","","","2025.05.30","11","","42","","","","11","","","",""
"","","Seetawaka","High Wind","2025.05.28","7","","26","","","","7","","","",""
"","","කකාළඹ","","","","","","","","","","","","",""
"","5","nfhOk;G  
Kolonnawa","High Wind","2025.05.30","11","","41","","","","10","1","","",""
"","","Colombo","","","","","","","","","","","","",""
"","","Rathmalana","High Wind","2025.05.30","12","","48","","","","12","","","",""
"","","Padukka","High Wind","2025.05.30","10","","41","","","","10","","","",""
"","","Dehiwala","High Wind","2025.05.30","8","","34","","","","8","","","",""
"","","Tibirigasyaya","High Wind","2025.05.30","12","","41","","5","","10","","","",""
"","","දිස්ික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","108","","426","0","5","0
0","105","0
1","","0
0
0",""
"","","පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","","","174","","667","0","5","0
0","169","0
1","","0
0
0",""
