"","","","","","","Water","Water","","","24 Hr RF"
"Maduru Oya","","","","","","","","","",""
"Maduru Oya","Padiyathalawa","m","4.00","4.50","6.00","0.09","0.09","Normal","","0.0"
"(RB 54)","","","","","","","","","",""
"Mahaweli Ganga","Manampitiya","m","3.00","4.30","6.00","-0.02","-0.03","Normal","","4.8"
"Mahaweli Ganga","Weraganthota","m","5.00","6.00","8.00","-3.08","-3.14","Normal","","0.0"
"Mahaweli Ganga","","","","","","","","","",""
"Mahaweli Ganga","Peradeniya","m","5.00","7.00","9.00","1.80","2.05","Normal","","24.1"
"(RB 60)","","","","","","","","","",""
"Mahaweli Ganga","Nawalapitiya","m","3.50","5.00","6.00","1.09","1.07","Normal","","21.1"
"Badulu Oya","Thaldena","m","3.00","4.00","5.00","0.37","0.36","Normal","","0.0"
"Yan Oya","","","","","","","","","",""
"Yan Oya","Horowpothana","m","6.00","7.50","10.50","1.32","1.32","Normal","","0.0"
"(RB 67)","","","","","","","","","",""
"Maa Oya (RB 69)  Mukunu Oya","Yaka Wewa","m","4.00","5.00","6.00","0.56","0.55","Normal","","0.0"
"Malwathu Oya","","","","","","","","","",""
"Malwathu Oya","Thanthirimale","m","5.00","6.80","0.42","1.80","1.78","Normal","","0.0"
"(RB 90)","","","","","","","","","",""
"Mee Oya","","","","","","","","","",""
"Mee Oya","Galgamuwa","m","4.84","5.94","8.00","0.33","0.32","Normal","","4.2"
"(RB 95)","","","","","","","","","",""
"Deduru Oya","","","","","","","","","",""
"Deduru Oya","Moragaswewa","m","4.75","6.00","7.00","0.74","0.73","Normal","","16.8"
"(RB 99)","","","","","","","","","",""
"Maha Oya","Badalgama","m","5.00","6.20","9.60","4.02","4.09","Normal","","101.0"
"Maha Oya","","","","","","","","","",""
"(RB 102)","","","","","","","","","",""
"Maha Oya","Giriulla","m","5.50","6.50","7.50","3.30","3.07","Normal","","109.0"
"Attanagalu Oya","","","","","","","","","",""
"Attanagalu Oya","Dunamale","m","3.30","4.40","5.50","0.84","0.82","Normal","","0.5"
"(RB 103)","","","","","","","","","",""
"Prepared by : 
A.A.M.Arawindi (H.A.)","","","","","","","","","",""
"Checked by :
W.A.S.Saumya (H.D.S.(Act))","","","","","","","","","",""
