"","Weather Forecast for Main Cities","","","Date :","9-Jul-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","34","25","85","55","Mainly fair"
"Batticaloa","36","26","80","50","Mainly fair"
"Colombo","32","28","80","65","A few showers"
"Galle","30","27","90","80","Several spells of light showers"
"Jaffna","34","27","85","60","Mainly fair"
"Kandy","30","24","85","65","A few showers"
"Nuwara-Eliya","20","14","90","75","A few showers"
"Ratnapura","32","24","90","65","Several spells of showers"
"Trincomalee","36","27","85","70","Mainly fair"
"Mannar","32","28","85","70","Mainly fair"
