"Dodangoda","2022.10.13","4","19","","","","","4","","","","",""
"Ingiriya","2022.10.13","5","22","","","","","2","","","","",""
"Horana","2022.10.13","1","4","","","","","1","","","","",""
"Beruwala","2022.10.14","1","5","","","","","1","","","","",""
"Millaniya","2022.10.14","26","87","","","","","1","","","","",""
"කළුතර","","","","","","","","","","","","",""
"Mathugama","2022.10.13/14","207","767","","","","1","60","6","","","",""
"6
fSj;Jiw","Heavy Rain","","","","","","","","","","","",""
"Madurawela
Kalutara","2022.10.14","4","9","","","","1","3","","","","",""
"Bandaragama","2022.10.14","1","5","","","","","1","","","","",""
"Bulathsinhala","2022.10.14","1","6","","","","","1","","","","",""
"Walallawita","2022.10.14","8","34","","","","","8","","","","",""
"Palinda Nuwara","2022.10.15","1","2","","","","","1","","","","",""
"Kalutara","2022.10.16","2","7","","","","","2","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","261","967","0","0","0","2","85","6","0","0","0","0"
"Kelaniya
Flood","2022.10.14","1183","5729","","","","","","","","1","46","173 Welegoda GN Wedikanda"
"Mahara
Flood","2022.10.14","","","","","","","9","","","","",""
"Katana
Flood","2022.10.14","24","115","","","","2","2","","","","",""
"Ja-Ela","Flood & Heavy Rain
2022.10.14","337","1407","","","","","","","","1","7","15 Vishakawatta 
Poorwaramaya"
"Dompe
Flood","2022.10.13","61","265","","","","","3","","","1","37","169 Lenagampala Temple"
"Gampaha
Flood","2022.10.14","22","82","","","","","6","","","","",""
"ෙම්පහ","","","","","","","","","","","","","1. Welikadammulla"
"7
fk;g`h","","","","","","","","","","","","","siddartha school"
"Western","","","","","","","","","","","","","2.Pubudugama Community"
"Gampaha
Wattala
Flood","2022.10.14","3427","13933","","","","","","","","4","49","180"
"Nky; khfhzk;","","","","","","","","","","","","","Hall  3.Vijaya kumarathunga"
"","","","","","","","","","","","","","Ground 4. Wattala Bopitiya"
"බස්ත්‍ර ොහිර පලොත","","","","","","","","","","","","","Mosque"
"Biyagama","Heavy Rain/Flood
2022.10.13","167","538","","","","","6","","","1","1","3 Biyagama South 
Bodhidumaraya Temple"
"Minuwangoda","Flood & Heavy Rain
2022.10.14","14","55","","","","","6","2","","","",""
"Aththanagalla
Flood","2022.10.15","","","","","","","2","","","","",""
"Meerigama","Heavy Rain
2022.10.14/15","","","","","","","8","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","5235","22124","0","0","0","2","42","2","0","8","140","540"
