"","Weather Forecast for Main Cities","","","","19-May-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","30","25","95","70","Several spells of showers"
"Batticaloa","31","26","95","75","Showers or thundershowers after 2.00p.m"
"Colombo","29","25","95","80","Showers or thundershowers at times"
"Galle","28","25","95","80","Showers or thundershowers at times"
"Jaffna","30","25","95","75","Several spells of showers"
"Kandy","27","22","95","70","Showers or thundershowers at times"
"Nuwara-Eliya","18","15","95","75","Showers or thundershowers at times"
"Ratnapura","29","24","95","70","Showers or thundershowers at times"
"Trincomalee","30","25","95","70","Showers or thundershowers after 2.00p.m"
"Mannar","29","26","95","80","Showers or thundershowers at times"
