"","","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","","164","847","0","0","0","0","0","0","0","0","0","0"
"","","","Wallawaya","","2018.08.01","350","1400","","","","","","","","","",""
"","","නමොනරාෙල/nkhd","","","","","","","","","","","","","","",""
"","","","Monaragala","","2018.07.02","600","2000","","","","","","","","","",""
"ඌව/Cth","17","whfiy","","Drought","","","","","","","","","","","","",""
"","","","Buttala","","2018.07.02","315","1417","","","","","","","","","",""
"khfhzk;/U","","Moneragala","","","","","","","","","","","","","","",""
"","","","Tanamalwila","","2018.06.01","2131","7052","","","","","","","","","",""
"va","","","","","","","","","","","","","","","","",""
"","","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","","3396","11869","0","0","0","0","0","0","0","0","0","0"
"","","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","","3396","11869","0","0","0","0","0","0","0","0","0","0"
"","","","","Boat  Accident","2018.09.11","","","4","1","2","","","","","","",""
"","","","Beruwala","","","","","","","","","","","","","",""
"","","","","","","23150","125750","","","","","","","","","",""
"Western/","","කළුතර/fSj;Jiw","Kalutara","","","17332","75017","","","","","","","","","",""
"","18","","","","","","","","","","","","","","","",""
"Nky;","","/ Kalutara","Matugama","Salt water Intrusion  2018.09.07","","60","235","","","","","","","","","",""
"khfhzk;බ","","","Panadura","","","1662","5850","","","","","","","","","",""
"ස්නාහිර පලාත","","","","","","","","","","","","","","","","",""
"","","","Dodangoda","","","323","1287","","","","","","","","","",""
"","","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","","42527","208139","4","1","2","0","0","0","0","0","0","0"
"","","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","","42527","208139","4","1","2","0","0","0","0","0","0","0"
"","මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","","","","255515","924877","4","3","7","7","136","0","0","1","16","64"
"","","","","","","","","රාජකාරි භාර නිළධාරි / flik mjpfhhp / Duty Officer : 011 2670002","","","","","","","","",""
