"ගාල්ල           fhyp","","","","","","","","","","","","",""
"6
Nagoda
Flood","2021.05.13","2","4","2","","","","","","","","",""
"Galle","","","","","","","","","","","","",""
"දිසරික් එකතුව khtl;l $l;Lj;njhif District Total","","2","4","2","0","0","0","0","0","0","0","0","0"
"Mathara","12","","44","","","","","12","","","","",""
"Flood","","","","","","","","","","","","",""
"Kamburupitiya","14","","53","","","","","14","","","","",""
"දකුනු","","","","","","","","","","","","",""
"Thihagoda
High wind
පලාත/njd;","1","","6","","","","","1","","","","",""
"මාතර/khj;jiw/M
khfhzk;/","","","","","","","","","","","","",""
"7
Pitabaddara","2021.05.13
8","","28","","","","","8","","","","",""
"atara
Southern/ ;","","","","","","","","","","","","",""
"Akuressa","396","","1636","","","","","21","","","","",""
"Flood","","","","","","","","","","","","",""
"Kirinda Phuhul","2","","4","","","","","2","","","","",""
"Athuraliya","230","","1035","","","","","40","","","","",""
"දිසරික් එකතුව khtl;l $l;Lj;njhif District Total","","663","2806","0","0","0","0","98","0","0","0","0","0"
"පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","665","2810","2","0","0","0","98","0","0","0","0","0"
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","2750","11542","3","1","0","0","205","0","0","1","42","175"
