"","","","","","","Water","Water","","","24 Hr RF"
"Maduru Oya","","","","","","","","","",""
"Maduru Oya","Padiyathalawa","m","4.00","4.50","6.00","0.16","0.15","Normal","","0.3"
"(RB 54)","","","","","","","","","",""
"Mahaweli Ganga","Manampitiya","m","3.00","4.30","6.00","0.25","0.20","Normal","","17.3"
"Mahaweli Ganga","Weraganthota","m","5.00","6.00","8.00","-2.19","-2.38","Normal","","0.8"
"Mahaweli Ganga","","","","","","","","","",""
"Mahaweli Ganga","Peradeniya","m","5.00","7.00","9.00","1.83","1.99","Normal","","4.3"
"(RB 60)","","","","","","","","","",""
"Mahaweli Ganga","Nawalapitiya","m","3.50","5.00","6.00","2.38","2.95","Normal","","78.2"
"Badulu Oya","Thaldena","m","3.00","4.00","5.00","0.49","0.38","Normal","","24.8"
"Yan Oya","","","","","","","","","",""
"Yan Oya","Horowpothana","m","6.00","7.50","10.50","1.56","1.56","Normal","","42.4"
"(RB 67)","","","","","","","","","",""
"Maa Oya (RB 69)  Mukunu Oya","Yaka Wewa","m","4.00","5.00","6.00","0.45","0.45","Normal","","1.8"
"Malwathu Oya","","","","","","","","","",""
"Malwathu Oya","Thanthirimale","m","5.00","6.80","7.80","0.87","0.86","Normal","","25.3"
"(RB 90)","","","","","","","","","",""
"Mee Oya","","","","","","","","","",""
"Mee Oya","Galgamuwa","m","4.84","5.94","8.00","0.37","0.36","Normal","","1.7"
"(RB 95)","","","","","","","","","",""
"Deduru Oya","","","","","","","","","",""
"Deduru Oya","Moragaswewa","m","4.75","6.00","7.00","0.28","0.28","Normal","","0.0"
"(RB 99)","","","","","","","","","",""
"Maha Oya","Badalgama","m","5.00","6.20","9.60","1.83","1.83","Normal","","0.2"
"Maha Oya","","","","","","","","","",""
"(RB 102)","","","","","","","","","",""
"Maha Oya","Giriulla","m","5.50","6.50","7.50","0.81","0.81","Normal","","0.6"
"Attanagalu Oya","","","","","","","","","",""
"Attanagalu Oya","Dunamale","m","3.30","4.40","5.50","0.22","0.22","Normal","","1.2"
"(RB 103)","","","","","","","","","",""
"Prepared by : 
P.A.G.Gayampath (H.A)","","","","","","","","","",""
"Checked by :","","","","","","","","","",""
