"","Weather Forecast for Main Cities","","","Date :","26-Jul-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","",""
"","Max","Min","Max","Min",""
"Anuradhapura","32","24","85","55","Mainly fair"
"Batticaloa","35","26","80","50","Mainly fair"
"Colombo","29","24","90","75","Showers at times"
"Galle","28","25","90","85","Showers at times"
"Jaffna","32","27","85","65","Mainly fair"
"Kandy","27","22","90","80","Showers at times"
"Nuwara-Eliya","16","14","95","90","Showers at times"
"Ratnapura","31","23","95","75","Showers at times"
"Trincomalee","34","25","80","50","Mainly fair"
"Mannar","31","27","85","70","A few showers"
