"","Weather Forecast for Main Cities","","","","18-Jun-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","33","25","90","60","A few showers"
"Batticaloa","33","26","90","60","Showers or thundershowers are likely after 2.00p.m"
"Colombo","30","26","90","70","Several spells of showers"
"Galle","29","28","90","80","Several spells of showers"
"Jaffna","32","28","85","75","Mainly fair"
"Kandy","31","21","95","65","Several spells of showers"
"Nuwara-Eliya","21","14","90","65","Several spells of showers"
"Ratnapura","33","23","95","60","Several spells of light showers"
"Trincomalee","35","26","85","50","Mainly fair"
"Mannar","31","28","90","80","A few showers"
