"","","","","","","","","","","","","","","",""
"","9","මන්නාරම    
Madu
Flood","2018.10.07
56","184","","","","","","","","1","56","","184 Safe Location -"
"","","kd;dhH  Mannar","","","","","","","","","","","","","Divisional Secatariat"
"උතුරු","","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","56","184","0","0","0","0","0","0","0","1","56","184",""
"පලාත/tl","","","","","","","","","","","","","","",""
"","","වව්නියාව   
Vavuniya
Drowning","2018.10.19
1","1","1","","","","","","","","","",""
"khfhzk;/","10","","","","","","","","","","","","","",""
"","","tTdpah","","","","","","","","","","","","",""
"Northen/","","","","","","","","","","","","","","",""
"","","Vavuniya
Vengalacheddikulam
High Wind","2018.10.21
1","3","","","","","1","","","","","",""
"","","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","2","4","1","0","0","0","1","0","0","0","0","0",""
"","","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","58","188","1","0","0","0","1","0","0","1","56","184",""
"වයඹ පලාත","","Mahawewa
High Wind","2018.10.22
1","4","","","","","","","","","","",""
"","","පුත්තලම Gj;jsk;","","","","","","","","","","","","",""
"","11","","","","","","","","","","","","","",""
"tlNky;","","Puttalam","","","","","","","","","","","","",""
"","","Arachchikattuwa
Lightning","2018.10.22
2","11","","","","","2","","","","","",""
"khfhzk;","","","","","","","","","","","","","","",""
"North","","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","3","15","0","0","0","0","2","0","0","0","0","0",""
