"","Weather Forecast for Main Cities","","","","15-Mar-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","35","23","95","40","Mainly fair"
"Batticaloa","33","25","90","70","Mainly fair"
"Colombo","32","26","90","65","Showers or thundershowers are likely after 2.00p.m"
"Galle","31","25","90","50","Showers or thundershowers are likely after 4.00p.m"
"Jaffna","34","24","90","45","Mainly fair"
"Kandy","33","20","90","55","Mainly fair"
"Nuwara-Eliya","23","13","95","50","Showers or thundershowers are likely after 2.00p.m"
"Ratnapura","36","24","90","50","Showers or thundershowers are likely after 2.00p.m"
"Trincomalee","33","24","90","55","Mainly fair"
"Mannar","34","24","95","50","Mainly fair"
