"","Weather Forecast for Main Cities","","","","10-Jun-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","33","26","90","70","A few showers"
"Batticaloa","35","26","90","60","Showers or thundershowers are likely after 2.00p.m"
"Colombo","31","25","95","75","Several spells of showers"
"Galle","30","27","95","80","Several spells of showers"
"Jaffna","32","28","85","75","Mainly fair"
"Kandy","30","23","95","70","Showers or thundershowers are likely after 2.00p.m"
"Nuwara-Eliya","21","15","95","75","Several spells of showers"
"Ratnapura","33","23","95","75","Showers at times"
"Trincomalee","34","26","85","60","Mainly fair"
"Mannar","31","27","90","75","Several spells of light showers"
