"","ප්‍රධාන  නගර සදහා කාලගුණ අනාවැකිය","","","දිනය :     2024-04-21",""
"","","උෂ්ණත්වය(සස. අංශක)","","සාසේක්ෂ ආර්ද්‍රතාවය(%)",""
"නගරය","","","","","කාලගුණය"
"","උපරිම","අවම","උපරිම","අවම",""
"අනුරාධපුරය","37","26","95","45","සවස 2.00න් පසුව වැසි තහෝ ගිගුරුම් සහිත වැසි ඇති  විය හැක"
"මඩකලපුව","32","26","95","75","ප්‍රධාන වශතයන් වැසි රහිත"
"සකාළඹ","33","26","90","65","සවස 2.00න් පසුව වැසි තහෝ ගිගුරුම් සහිත වැසි ඇති  විය හැක"
"ගාල්ල","32","28","90","70","සවස 2.00න් පසුව වැසි තහෝ ගිගුරුම් සහිත වැසි ඇති  විය හැක"
"යාපනය","36","28","95","60","ප්‍රධාන වශතයන් වැසි රහිත"
"මහනුවර","34","24","95","50","සවස 2.00න් පසුව වැසි තහෝ ගිගුරුම් සහිත වැසි ඇති  විය හැක"
"නුවරඑළිය","25","11","95","60","සවස 2.00න් පසුව වැසි තහෝ ගිගුරුම් සහිත වැසි ඇති  විය හැක"
"රත්නපුරය","36","25","95","60","සවස 2.00න් පසුව වැසි තහෝ ගිගුරුම් සහිත වැසි ඇති තේ"
"ත්‍රිකුණාමලය","34","25","90","65","ප්‍රධාන වශතයන් වැසි රහිත"
"මන්නාරම","34","27","90","65","සවස 2.00න් පසුව වැසි තහෝ ගිගුරුම් සහිත වැසි ඇති  විය හැක"
