"","Weather Forecast for Main Cities","","","","21-Apr-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","37","26","95","45","Showers or thundershowers are likely after 2.00p.m"
"Batticaloa","32","26","95","75","Mainly fair"
"Colombo","33","26","90","65","Showers or thundershowers are likely after 2.00p.m"
"Galle","32","28","80","70","Showers or thundershowers are likely after 2.00p.m"
"Jaffna","36","28","90","60","Mainly fair"
"Kandy","34","24","95","50","Showers or thundershowers are likely after 2.00p.m"
"Nuwara-Eliya","25","11","95","60","Showers or thundershowers are likely after 2.00p.m"
"Ratnapura","36","25","95","60","Showers or thundershowers after 2.00p.m"
"Trincomalee","34","25","95","65","Mainly fair"
"Mannar","34","27","90","65","Showers or thundershowers are likely after 2.00p.m"
