"","","","","බලපෑමට ලක්වු","","","","","ලවනත් හානි பிற பாதிப்புகள்","","","ආරක්ිත ස්ත්‍රථාන ghJfhg;ghd","",""
"දකුණු පලාත","","","","","","","","","","","","","",""
"","Gonapinuwela","Heavy Rain","2024.10.23","1","2","","","1","","","","","",""
"njd; khfhzk;","","","","","","","","","","","","","",""
"","Hikkaduwa","Lightning","2024.10.23","6","34","","","6","","","","","",""
"Southern","","","","","","","","","","","","","",""
"","Bopepoddala","Heavy Rain","2024.10.23","1","5","","","1","","","","","",""
"","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","42","151","0
0","0","0
31","0","0","","0","0","0"
"","Walasmulla","High Wind","2024.10.23","1","4","","","1","","","","","",""
"","හම්බන්ගතාට/`k;gh","","","","","","","","","","","","",""
"","Ambalanthota","Lightning","2024.10.23","1","3","","","1","","","","","",""
"e
Njhl;il 
2","","","","","","","","","","","","","",""
"","Walasmulla","High Wind","2024.10.24","1","1","","","1","","","","","",""
"Hambantota","","","","","","","","","","","","","",""
"","Beliattha","High Wind","2024.10.24","1","5","","","1","","","","","",""
"","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","4","13","0
0","0","0
4","0","0","","0","0","0"
"","පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","","","46","164","0
0","0","0
35","0","0","","0","0","0"
"","Naththandiya","","","83","264","","","9","","","","","",""
"","","","2024.10.22","","","","","","","","","","",""
"","Wennappuwa","","","145","485","","","","","","","","",""
"","Mahawewa","","","119","413","","","","","","","","",""
"පුත්තලම","Mundalama","","","206","793","","","","","","","","",""
"වයඹ පලාත 
Gj;jsk;   
3","","Flash Flood","","","","","","","","","","","",""
"","Kalpitiya","","","563","1920","","","","","","","","",""
"tlNky; 
Puttalam","","","","","","","","","","","","","",""
"","Chillaw","","2024.10.24","1","6","","","","","","","","",""
"khfhzk; North","","","","","","","","","","","","","",""
"Western","Madampe","","","31","129","","","2","","","","","",""
"","Arachchikattuwa","","","15","43","","","1","","","","","",""
"","Wanathailluwa","","","20","101","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","1183","4154","0
0","0","0
12","0","0","","0","0","0"
"","පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","","","1183","4154","0
0","0","0
12","0","0","","0","0","0"
"","Mannar town","","","1930","6925","","","","","","","3","89","302"
"","මන්නාරම   kd;dhH","","","","","","","","","","","","",""
"4","","Thunder & Heavy Rain","2024.10.24","","","","","","","","","","",""
"උතුරු පලාත       
  Mannar","","","","","","","","","","","","","",""
"","Nanattan","","","290","1390","","","","","","","","",""
"tl khfhzk;","","","","","","","","","","","","","",""
"Northen","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","2220","8315","0
0","0","0
0","0","0","","3","89","302"
"","පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","","","2220","8315","0
0","0","0
0","0","0","","3","89","302"
"","Lunugala","","2024.10.11","2","6","","","2","","","","","",""
"","","Heavy Rain","","","","","","","","","","","",""
"","Uvaparanagama","","2024.10.22","1","3","","","1","","","","","",""
"බදුල්ල","","","","","","","","","","","","","",""
"5","Mahiyanganaya","","","6","25","","","6","","","","","",""
"ඌව","gJs;is  Badulla","","","","","","","","","","","","",""
"","","Lightning","","","","","","","","","","","",""
"Cth khfhzk;","Rideemaliyadda","","2024.10.21","3","11","","","3","","","","","",""
"Uva","","","","","","","","","","","","","",""
"","Passara","Cutting Failure","","1","7","","","1","","","","","",""
"","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","13","52","0
0","0","0
13","0","0","","0","0","0"
"","පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","","","13","52","0
0","0","0
13","0","0","","0","0","0"
"","Seruwila","High Wind","2024.10.23","1","4","","","1","","","","","",""
"ත්‍රීකුණාමලය","","","","","","","","","","","","","",""
"","Muthur","High Wind","2024.10.24","1","4","","","1","","","","","",""
"jp.kiy 
6","","","","","","","","","","","","","",""
"නැගගනහිර පලාත","Kinniya","High Wind","2024.10.24","1","3","","","1","","","","","",""
"Trincomalee","","","","","","","","","","","","","",""
"fpof;F Eastern","Kuchchuweli","High Wind","2024.10.13","1","1","","","1","","","","","",""
"","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","4","12","0
0","0","0
4","0","0","","0","0","0"
