"","Weather Forecast for Main Cities","","","Date :","6-Sep-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","34","25","80","45","Mainly fair"
"Batticaloa","35","26","85","50","Showers or thundershowers are likely after 2.00p.m"
"Colombo","31","27","80","70","A few showers"
"Galle","29","27","80","75","A few showers"
"Jaffna","34","27","90","65","A few showers"
"Kandy","30","21","90","60","A few showers"
"Nuwara-Eliya","19","13","90","65","A few showers"
"Ratnapura","33","23","95","70","A few showers"
"Trincomalee","36","26","75","35","Showers or thundershowers are likely after 2.00p.m"
"Mannar","31","27","85","75","Mainly fair"
