"","","","","","","","KOik","sT","ன
்  சேதங் கள்","fl;likg;Gf;fs;","","f   No.","",""
"District
DS Division","Families","People","","People","g","","","","","","","","s;","Persons"
"","","","","","","","Fully","Partiall","Small, Medium,","","Damages to","of Safety","",""
"","","","","","People","","","","","","","","Families",""
"","","","","","","","","y","Enterprises","","critical","Location","",""
"","","","","","","","","","Damages","Infrastructure","","s","",""
"නුවරඑලිය 
Nuwaraeliya
Fire","2020.08.11
35","125","","","","","24","","","","","1","35","125 Muththumari Amman Kovil"
"1
Etnuypah","","","","","","","","","","","","","",""
"Abagamuwa
Cutting failure
Nuwara Eliya","2020.09.07
2","11","","","","","","1","","","","1","2","12 Layagams Hotel"
"දිස්ික් එකතුව khtl;l $l;Lj;njhif District Total
මධයම පලාත","37","136","0","0","","0","24","1","","0","0","2","37","137"
"kj;jpa khfhzk 
නුවර","","","","","","","","","","","","","",""
"Central
2
Deltota
High Wind/Heavy Rain
fz;b","2020.09.09/10
3","14","","1","","","","2","","1","","","",""
"Kandy","","","","","","","","","","","","","",""
"දිස්ික් එකතුව khtl;l $l;Lj;njhif District Total","3","14","0","1","","0","0","2","","1","0","0","0","0"
"පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","40","150","0","1","","0","24","3","","1","0","2","37","137"
"බදුල්ල      
Welimada
Fire","2020.08.17
12","54","","","","","12","","","","","1","12","54 Alakolagala Day Care Centre"
"3
gJs;is","","","","","","","","","","","","","",""
"ඌව","","","","","","","","","","","","","",""
"Badulla
Welimada
High Wind","2020.09.07
49","201","","1","","","","49","","","","","",""
"Cth khfhzk;","","","","","","","","","","","","","",""
"Uva
දිස්ික් එකතුව khtl;l $l;Lj;njhif District Total","61","255","0","1","","0","12","49","","0","0","1","12","54"
"පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","61","255","0","1","","0","12","49","","0","0","1","12","54"
"රත්නපුර","","","","","","","","","","","","","",""
"4
Elapatha
Heavy Rain & High Wind
,uj;jpdGhp","2020.09.09
1","4","","3","","","1","","","","","","",""
"සබරගමුව පලාත","","","","","","","","","","","","","",""
"Rathnapura
rg;ufKt","","","","","","","","","","","","","",""
"Sabaragamuwa
දිස්ික් එකතුව khtl;l $l;Lj;njhif District Total","1","4","0","3","","0","1","0","","0","0","0","0","0"
"පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","1","4","0","3","","0","1","0","","0","0","0","0","0"
"වකාළඹ","2020.09.07
9","34","","2","","","","9","","","","","",""
"Colombo
nfhOk;G","","","","","","","","","","","","","",""
"","2020.09.09
427","1640","","","","","","25","","","","1","42","175 Obeysekarapura Reading"
"Colombo
5
Heavy Rain & High Wind","","","","","","","","","","","","","","Hall"
"Thimbirigasyaya","2020.09.09
213","678","","1","","","","2","","","","","",""
"Kaduwela","2020.09.07
3","11","1","2","","","1","2","","","","","",""
"දිස්ික් එකතුව khtl;l $l;Lj;njhif District Total","652","2363","1","5","","0","1","38","","0","0","1","42","175"
"ගම්පහ            
Western","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","Elapitiwala DMC Safety"
"6
Wattala
Flood
fk;g`h       
Nky; khfhzk;","2020.09.08
93","363","","","","","","70","","","","1","19","65"
"","","","","","","","","","","","","","","Center"
"Gampaha
බස්නාහිර පලාත","","","","","","","","","","","","","",""
"දිස්ික් එකතුව khtl;l $l;Lj;njhif District Total","93","363","0","0","","0","0","70","","0","0","1","19","65"
"කළුතර","","","","","","","","","","","","","",""
"7
Palindanuwara
Rock Fallen
fSj;Jiw","2020.09.06
16","49","","","","","","","","","","1","16","44 Gangarama Temple"
"Kalutara","","","","","","","","","","","","","",""
"දිස්ික් එකතුව khtl;l $l;Lj;njhif District Total","16","49","0","0","","0","0","0","","0","0","1","16","44"
"පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","761","2775","1","5","","0","1","108","","0","0","3","77","284"
"ත්‍රීකුණාමලය","","","","","","","","","","","","","",""
"8
Seruwila
High wind
jp.kiy","2020.09.08
3","9","","3","","","","","","","","","",""
"නැවගනහිර පලාත","","","","","","","","","","","","","",""
"Trincomalee","","","","","","","","","","","","","",""
"fpof;F","","","","","","","","","","","","","",""
"Eastern
දිස්ික් එකතුව khtl;l $l;Lj;njhif District Total","3","9","0","3","","0","0","0","","0","0","0","0","0"
"පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","3","9","0","3","","0","0","0","","0","0","0","0","0"
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","866","3193","1","13","","0","38","160","","1","0","6","126","475"
