"","","Division","","","","","","","","","","","","of Safety","",""
"","","","","","","","","","","Fully","Partiall","Small, Medium,","Damages to","","",""
"","","","","","","","","","People","","","","","","Families",""
"","","","","","","","","","","","y","Enterprises","critical","Location","",""
"","","","","","","","","","","","","Damages","Infrastructure","s","",""
"ඌව","බදුල්ල","","","","","","","","","","","","","","",""
"Cth khfhzk;","1
gJs;is","Haldunmulla","High Wind","2020.02.14","1","6","","","","","1","","","1","1","6"
"Uva","Badulla","","","","","","","","","","","","","","",""
"","දිස්ික් එකතුව khtl;l $l;Lj;njhif District Total","","","","1","6","0","0","0","0","1","0","0","1","1","6"
"","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","","1","6","0","0","0","0","1","0","0","1","1","6"
"","","Ruwanwella","","2020.01.17","220","900","","","","","","","","","",""
"","","","","","","","","","","","","","","","","Distribution of drinking water"
"","","Bulathkohupitiya","","2020.02.10","61","277","","","","","","","","","",""
"","","","Drought","","","","","","","","","","","","",""
"","","Deraniyagala","","2020.02.06","225","960","","","","","","","","","",""
"","කෑගල්ල","","","","","","","","","","","","","","",""
"","2
Nffhiy","Galigamuwa","","2020.02.13","75","312","","","","","","","","","",""
"","Kegalle","","","","","","","","","","","","","","",""
"","","Ruwanwella","","2020.02.14","1","5","","","","","1","","","","",""
"සබරගමුව පලාත","","","Tree fallen","","","","","","","","","","","","",""
"","","Bulathkohupitiya","","","1","2","","","","","1","","","","",""
"rg;ufKt","","","","2020.02.16","","","","","","","","","","","",""
"Sabaragamuwa","","Galigamuwa","Fire","","4","22","","","","","1","","","","",""
"","දිස්ික් එකතුව khtl;l $l;Lj;njhif District Total","","","","587","2478","0","0","0","0","3","0","0","0","0","0"
"","රත්නපුර","","","","","","","","","","","","","","",""
"","3
,uj;jpdGhp","Eheliyagoda","Drought","2020.02.07","1921","7959","","","","","","","","","",""
"","Rathnapura","","","","","","","","","","","","","","",""
"","දිස්ික් එකතුව khtl;l $l;Lj;njhif District Total","","","","1921","7959","0","0","0","0","0","0","0","0","0","0"
"","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","","2508","10437","0","0","0","0","3","0","0","0","0","0"
"","නුවර","","","","","","","","","","","","","","",""
"","4
fz;b","Akurana","Drought","2020.02.11","350","1213","","","","","","","","","",""
"","Kandy","","","","","","","","","","","","","","",""
"","දිස්ික් එකතුව khtl;l $l;Lj;njhif District Total","","","","350","1213","0","0","0","0","0","0","0","0","0","0"
"මධයම පලාත","","","","","","","","","","","","","","","",""
"kj;jpa khfhzk;","නුවරඑලිය","","","","","","","","","","","","","","",""
"Central","5
Etnuypah","Ambagamuwa","Fire","2020.02.16","8","32","","","","8","","","","1","8","32 Primary Government"
"","","","","","","","","","","","","","","","","Dispensary"
"","Nuwara Eliya","","","","","","","","","","","","","","",""
"","දිස්ික් එකතුව khtl;l $l;Lj;njhif District Total","","","","8","32","0","0","0","8","0","0","0","1","8","32"
"","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","","358","1245","0","0","0","8","0","0","0","1","8","32"
"","","Kalutara","","","19776","78359","","","","","","","","","",""
"","කළුතර","","","","","","","","","","","","","","",""
"","","Beruwala","Dissolving salts","","24147","116465","","","","","","","","","",""
"","6
fSj;Jiw","","","2020.01.20","","","","","","","","","","","","Distribution of drinking water"
"Western","","","in drinking water","","","","","","","","","","","","",""
"","","Panadura","","","2694","9905","","","","","","","","","",""
"Nky; khfhzk","Kalutara","","","","","","","","","","","","","","",""
"","","Dodangoda","","","4545","13664","","","","","","","","","",""
"බස්නාහිර පලාත","","","","","","","","","","","","","","","",""
