"","Weather Forecast for Main Cities","","","","16-Jun-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","33","26","85","65","Mainly fair"
"Batticaloa","32","26","85","65","Mainly fair"
"Colombo","30","28","85","70","A few showers"
"Galle","30","26","90","80","Several spells of light showers"
"Jaffna","32","28","85","65","Mainly fair"
"Kandy","30","19","95","65","Mainly fair"
"Nuwara-Eliya","19","13","85","60","Mainly fair"
"Ratnapura","31","24","95","60","Several spells of light showers"
"Trincomalee","34","26","85","60","Mainly fair"
"Mannar","31","28","85","65","Mainly fair"
