"ලමොනරාගල","","","","","","","","","","","","","",""
"ඌව      
5
Badalkumbura 
nkhdwhfiy","Cutting Failure","2018.11.26","8","32","","","","","","","","1","8","32 Dewathura Tamil"
"","","","","","","","","","","","","","","Collage"
"Cth 
Moneragala","","","","","","","","","","","","","",""
"khfhzk;","","","","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","8","32","0","0","0","0","0","0","0","1","8","32"
"Uva","","","","","","","","","","","","","",""
"පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","8","32","0","0","0","0","0","0","0","1","8","32"
"","","2018.11.22","2","4","","","","","1","","","","",""
"Aranayaka","Heavy Rain","","","","","","","","","","","","",""
"සබරගමුව 
කෑගේල","","2018.11.25","1","4","","","","","1","","","","",""
"6","","","","","","","","","","","","","",""
"පලාත 
Nffhiy  Kegalle","","","","","","","","","","","","","",""
"Kegalle","Rock Fallen","2018.11.23","1","6","","","","","1","","","","",""
"rg;ufKt","","","","","","","","","","","","","",""
"Mawanella","Rock Fallen","2018.11.26","1","2","","","","","1","","","","",""
"Sabaragam","","","","","","","","","","","","","",""
"uwa
දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","5","16","0","0","0","0","4","0","0","0","0","0"
"පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","5","16","0","0","0","0","4","0","0","0","0","0"
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","","411","1604","0","0","0","5","105","2","0","5","40","141"
"","","","","","රාජකාරි භාර නිළධ්‍ාරි / flik mjpfhhp / Duty Officer : 011 2670002","","","","","","","","",""
