"khfhzk;","","","","","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","1","3","1","2","2","0","0"
"Central","","","","","","","","",""
"පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","1","3","1","2","2","0","0"
"Weligepola","Rock Fallen Risk","2021.12.03","4","18","","","","",""
"Imbulpe","Heavy Rain","2021.12.05","1","1","","","","","1"
"","Cutting Faliure/","2021.12.05","2","7","","","","","2"
"Kahawatta","","","","","","","","",""
"","Flash Flood","2021.12.06","20","84","","","","","20"
"","Landslide Risk/","2021.12.05","24","113","","","","","7"
"Rathnapura","","","","","","","","",""
"රත් පුර","Flash Flood","2021.12.06","25","90","","","","","1"
"2
,uj;jpdGhp","Landslide Risk/","","","","","","","",""
"Pelmadulla","","2021.12.06","94","325","","","","","144"
"Rathnapura","Flash Flood","","","","","","","",""
"Kolonna","Heavy Rain","2021.12.05","2","6","","","","","2"
"","","2021.12.05","3","4","","","","","3"
"ස්ත්‍බරගමුව 
Opanayaka","Heavy Rain","","","","","","","",""
"","","2021.12.06","","","","","","","1"
"පලාත","","","","","","","","",""
"","Heavy Rain","2021.12.05","4","14","","","","","4"
"rg;ufKt","","","","","","","","",""
"Godakawela","Flash Flood / High","2021.12.06","9","39","","","","","6"
"Sabaragamuw","","","","","","","","",""
