"","උපරිම","අවම","උපරිම","අවම",""
"අනුරාධ්‍පුරය","34","24","90","55","සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ"
"","","","","","සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති  විය"
"මඩකලපුව","32","26","90","70",""
"","","","","","ැක"
"හකාළඹ","30","26","85","70","වැසි වාර කිහිපයක්"
"ගාල්ල","30","28","85","75","වැසි වාර කිහිපයක්"
"යාපනය","32","25","85","70","වැසි වාර කිහිපයක්"
"ම නුවර","30","21","90","60","සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ"
"නුවරඑළිය","21","13","85","60","සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ"
"රත්නපුරය","34","23","90","60","වැසි වාර කිහිපයක්"
"ිකුණාමලය","34","24","90","55","සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ"
"මන්නාරම","31","23","95","75","වැසි වාර කිහිපයක්"
