"","","","","Page 4","","","","","","","","","","Situation Report on 2019.11.05 at 1800 hrs.xlsx"
"","","2019.12.05","1","4","","","","","","","","","",""
"Kundasale","","","","","","","","","","","","","",""
"","","","51","188","","","","","5","1","","","",""
"Paathahewaheta","","","7","32","","","","","","","","","",""
"Gangaihalakorale","","","2","9","","","","","2","","","","",""
"Medadumbara","","","11","50","","","","","11","","","","",""
"Akurana","","","10","54","","","","","1","","","","",""
"Pasbagekorale","","","3","6","","","","","3","","","","",""
"Deltota","","","9","35","","","","","9","","","","",""
"Udapalatha","","","5","22","","","","","5","","","","",""
"Harispattuwa","Heavy Rain/","","3","8","","","","","3","","","","",""
"","","2019.12.01 -","","","","","","","","","","","",""
"නුවර","","","","","","","","","","","","","",""
"","Land Slide/ High","","","","","","","","","","","","",""
"Gagawatakorale
12
fz;b","","2019.12.08","2","4","","","","","2","","","","",""
"","Wind/ Cutting","","","","","","","","","","","","",""
"Kandy
Yatinuwara","","","2","4","","","","","2","","","","",""
"","Failure","","","","","","","","","","","","",""
"Minipe","","","7","35","","","","","3","","","","",""
"Doluwa","","","5","26","","","","","1","","","","",""
"Panwila","","","5","13","","","","","5","","","","",""
"Ududumbara","","","9","30","","","","2","7","","","","",""
"Hatharaliyedda","","","1","6","","","","1","","","","","",""
"Udunuwara","","","1","4","","","","","1","","","","",""
"Poojapitiya","","","3","6","","","","","","","","","",""
"Pathadumbara","","2019.12.09","1","3","","","","","1","","","","",""
"Thumpane","","2019.12.07","1","1","","","","","1","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","139","540","0","0","0","3","62","1","0","0","0","0"
"ධය  පලොත","Fire","2019.12.07","2","9","","","","2","","","","1","2","9 Watagoda Yorkford State"
"","","","","","","","","","","","","","","House"
"kj;jpa khfhzk;","","","","","","","","","","","","","",""
"Nuwara Eliya","Flood","2019.12.03","3","13","","","","","","","","1","3","13 Park School"
"Central","","","","","","","","","","","","","",""
"","Landslide","2019.12.04-05","25","102","","","","","1","","","2","3","17 Lipakele Childcare,"
"","","","","","","","","","","","","","","Dharmalingam Hall"
"","","","","","","","","","","","","","","Munwatte Temple,"
"","","","","","","","","","","","","","","Wewakele temple, Magrat"
"","","","","","","","","","","","","","","School, Ekangapura"
"","Land Slide Risk","2019.12.03-06","134","360","3","","1","","2","","","8","101","School, Brookside 
251"
"","","","","","","","","","","","","","","Childcare, Liyanwala"
"නුවරඑලිය","","","","","","","","","","","","","","School, Watambe School,"
"","","","","","","","","","","","","","","Harasbedda Temple"
"Walapane
13
Etnuypah","","","","","","","","","","","","","",""
"Nuwara Eliya","","","","","","","","","","","","","",""
"","Cutting Failure","2019.12.02","5","22","","","","","2","","","","",""
"","Rock fallen","2019.12.02","1","5","","","","","","","","","",""
"","Collapse of a wall","2019.12.02","1","5","","","","","1","","","","",""
"Kothmale","Landslide Risk","2019.12.05","1","5","","","","","","","","","",""
"","","2019.11.30","2","10","","","","","","","","1","2","10 Kithulpe Temple"
"","Cutting Failure","","","","","","","","","","","","",""
