"","","","","Page 4","","","","","","","","","","","Situation Report on 2019.11.05 at 1800 hrs.xlsx"
"Kundasale","","","51","188","","","","","5","1","","","","",""
"Paathahewaheta","","","7","32","","","","","","","","","","",""
"Gangaihalakorale","","","2","9","","","","","2","","","","","",""
"Medadumbara","","","11","50","","","","","11","","","","","",""
"Akurana","","","10","54","","","","","1","","","","","",""
"Pasbagekorale","","","3","6","","","","","3","","","","","",""
"Deltota","","","9","35","","","","","9","","","","","",""
"Udapalatha","","","5","22","","","","","5","","","","","",""
"","Heavy Rain/","","","","","","","","","","","","","",""
"නුවර                
Harispattuwa","","","3","8","","","","","3","","","","","",""
"","Land Slide/ High","2019.12.01 -","","","","","","","","","","","","",""
"12
fz;b","","","","","","","","","","","","","","",""
"Gagawatakorale","Wind/ Cutting","2019.12.08","2","4","","","","","2","","","","","",""
"Kandy","","","","","","","","","","","","","","",""
"Yatinuwara","Failure","","2","4","","","","","2","","","","","",""
"Minipe","","","7","35","","","","","3","","","","","",""
"Doluwa","","","5","26","","","","","1","","","","","",""
"Panwila","","","5","13","","","","","5","","","","","",""
"Ududumbara","","","9","30","","","","2","7","","","","","",""
"Hatharaliyedda","","","1","6","","","","1","","","","","","",""
"Udunuwara","","","1","4","","","","","1","","","","","",""
"Poojapitiya","","","3","6","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif/District Total","","","136","532","0","0","0","3","60","1","0","0","0","0",""
"","Fire","2019.12.07","2","9","","","","2","","","","1","2","","9 Watagoda Yorkford State"
"","","","","","","","","","","","","","","","House"
"Nuwara Eliya
 ධය  පලාත","Flood","2019.12.03","3","13","","","","","","","","1","3","","13 Park School"
"kj;jpa khfhzk;","","","","","","","","","","","","","","",""
"","Landslide","2019.12.04-05","25","102","","","","","1","","","2","3","","17 Lipakele Childcare,"
"","","","","","","","","","","","","","","","Dharmalingam Hall"
"Central","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","Munwatte Temple,"
"","","","","","","","","","","","","","","","Wewakele temple, Magrat"
"","","","","","","","","","","","","","","","School, Ekangapura"
"","Land Slide Risk","2019.12.03-06","134","360","3","","1","","2","","","8","101","251","School, Brookside"
"","","","","","","","","","","","","","","","Childcare, Liyanwala"
"නුවරඑලිය","","","","","","","","","","","","","","","School, Watambe School,"
"","","","","","","","","","","","","","","","Harasbedda Temple"
"Walapane
13
Etnuypah","","","","","","","","","","","","","","",""
"Nuwara Eliya","","","","","","","","","","","","","","",""
