"","Weather Forecast for Main Cities","","","Date :","20-May-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","33","25","95","75","Several spells of showers"
"Batticaloa","34","26","95","65","Showers or thundershowers after 2.00p.m"
"Colombo","31","25","95","75","Showers or thundershowers at times"
"Galle","29","26","95","80","Showers or thundershowers at times"
"Jaffna","32","25","95","70","Showers or thundershowers at times"
"Kandy","28","23","95","75","Showers or thundershowers at times"
"Nuwara-Eliya","17","15","95","80","Showers or thundershowers at times"
"Ratnapura","32","24","95","75","Showers or thundershowers at times"
"Trincomalee","32","25","90","70","Showers or thundershowers are likely after 2.00p.m"
"Mannar","32","26","95","75","Showers or thundershowers at times"
