"","","","","","","","","","","Medium,","critical","of Safety","Families",""
"","","","","","","","","","","Enterprises","Infrastructure","Locations","",""
"","","","","","","","","","","Damages","","","",""
"Arachchikattuwa","High Wind/ lightning","2024.09.28/29","28","102","","","","","27","","","","",""
"පුත්තලම    Gj;jsk;","","","","","","","","","","","","","",""
"ෙයඹ පලාත 
1","","","","","","","","","","","","","",""
"Puttalam","","","","","","","","","","","","","",""
"tlNky; 
Chilaw","High Wind","2024.09.29","10","45","","","","","10","","","","",""
"khfhzk;","","","","","","","","","","","","","",""
"දිස්ික් එකතුෙ/khtl;l $l;Lj;njhif/District Total","","","38","147","0","0","0","0","37","0","0","0","0","0"
"North Western","","","","","","","","","","","","","",""
"පළාත් ඵකතුෙ/ khfhz $l;Lj;njhif/Province Total","","","38","147","0","0","0","0","37","0","0","0","0","0"
"Dehiowita","Tree Fallen","2024.09.29","2","7","","","","","2","","","","",""
"Yatiyantota","lightning/High Wind","2024.09.28","2","6","","","","","2","","","","",""
"කෑගල්ල","","","","","","","","","","","","","",""
"2","","","","","","","","","","","","","",""
"සබරගමුෙ පලාත 
Nffhiy   Kegalle","","","","","","","","","","","","","",""
"Galigamuwa","Tree Fallen","2024.09.30","2","7","","","","","2","","","","",""
"rg;ufKt","","","","","","","","","","","","","",""
"Sabaragamuwa
Warakapola","Tree Fallen","2024.09.28","2","7","","","","","2","","","","",""
"දිස්ික් එකතුෙ/khtl;l $l;Lj;njhif/District Total","","","8","27","0","0","0","0","8","0","0","0","0","0"
