"","","","","","","","","","Fully","Partiall","Small, Medium,","Damages to","of Safety","",""
"","","","","","","","","People","","","","","","Families",""
"","","","","","","","","","","y","Enterprises","critical","Location","",""
"","","","","","","","","","","","Damages","Infrastructure","s","",""
"","Ganga Ihala korale","Landslide risk","2020.07.01","18","70","","","","","","","","1","18","70"
"නුෙර","","","","","","","","","","","","","","",""
"1
මධයම පලොත","fz;b","","","","","","","","","","","","","",""
"","Akurana","High Wind","2020.07.06","1","4","","","","","1","","","","",""
"Kandy
kj;jpa khfhzk;","","","","","","","","","","","","","","",""
"","Harispattuwa","Fire","2020.07.07","1","6","","","","1","","","","","",""
"Central","","","","","","","","","","","","","","",""
"","Udunuwara","High Wind","2020.07.05","1","1","","","","","1","","","","",""
"","දිස්ික් එ තුෙ khtl;l $l;Lj;njhif District Total","","","21","81","0","0","0","1","2","0","0","1","18","70"
"","පළොත් ඵ තුෙ khfhz $l;Lj;njhif  Province Total","","","21","81","0","0","0","1","2","0","0","1","18","70"
"යොපනය","","","","","","","","","","","","","","",""
"","Chavakachcheri","High Wind","2020.07.05","1","5","","","","","1","","","","",""
"2
උතුරු පලොත","aho;g;ghzk;","","","","","","","","","","","","","",""
"Jaffna
tl khfhzk","","","","","","","","","","","","","","",""
"","Karaveddy","Fire","2020.07.08","1","3","","","","","","","","","",""
"Northen","","","","","","","","","","","","","","",""
"","දිස්ික් එ තුෙ khtl;l $l;Lj;njhif District Total","","","2","8","0","0","0","0","1","0","0","0","0","0"
"","පළොත් ඵ තුෙ khfhz $l;Lj;njhif  Province Total","","","2","8","0","0","0","0","1","0","0","0","0","0"
"ක ොළඹ","","","","","","","","","","","","","","",""
"3
nfhOk;G 
බස්නොහිර පලොත","Thimbirigasyaya","Fire","2020.07.05","","","","","","","","5","","","",""
"Colombo","","","","","","","","","","","","","","",""
"Western","","","","","","","","","","","","","","",""
"Nky; khfhzk ;","දිස්ික් එ තුෙ khtl;l $l;Lj;njhif District Total","","","0","0","0","0","0","0","0","5","0","0","0","0"
"","පළොත් ඵ තුෙ khfhz $l;Lj;njhif  Province Total","","","0","0","0","0","0","0","0","5","0","0","0","0"
"","හම්බනකතොට","","","","","","","","","","","","","",""
"","Hambantota","Tree Falean","2020.07.04","1","4","","","","","1","","","","",""
"4","`k;ghe;Njhl;il","","","","","","","","","","","","","",""
"දකුනු පලොත","","","","","","","","","","","","","","",""
"njd; khfhzk;","Hambantota","","","","","","","","","","","","","",""
"","Beliatta","Cutting Failure","2020.07.07","1","4","","","","","1","","","","",""
"Southern","","","","","","","","","","","","","","",""
"","දිස්ික් එ තුෙ khtl;l $l;Lj;njhif District Total","","","2","8","0","0","0","0","2","0","0","0","0","0"
