"","දිස්ත්‍රික්කය","","","","","","","","පූර්ණ හානි","","நிறுவனங்களின்","","","","",""
"","gpuNjr nra.gp     DS","","","FLk;gq;fs;","egHfs;","","Injured","Missing","","gFjpasT","","fl;likg;Gf;fs;","vz;zpf;i","FLk;gq;f","egHfs;",""
"","","","commenced","","","","","","KOik Fully","","","","","","",""
"","மாவட்டம் District","","","Families","People","","","","","Partially","சேதங்கள்; Small,","Damages to","f   No.","s;","Persons",""
"","Division","","","","","","People","People","","","","","","","",""
"","","","","","","","","","","","Medium,","critical","of Safety","Families","",""
"","","","","","","","","","","","Enterprises","Infrastructure","Locations","","",""
"","","","","","","","","","","","Damages","","","","",""
"","Kuruvita","","","2","13","","","","","2","","","","","",""
"","රත්නපුර","","","","","","","","","","","","","","",""
"","1
,uj;jpdGhp 
Imbulpe","Tree fallen","2025.03.17","2","10","","","","","2","","","","","",""
"","Rathnapura","","","","","","","","","","","","","","",""
"","Rathnapura","","","2","8","","","","","2","","","","","",""
"","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","6","31","0","0","0","0","6","0","0","0","0","0",""
"ස්ත්‍බරගමුව පලාත","","","","","","","","","","","","","","","",""
"","Aranayaka","Tree fallen","2025.03.17","1","5","","","","","1","","","","","",""
"rg;ufKt","","","","","","","","","","","","","","","",""
"","Galigamuwa
කෑගල්ල","Tree fallen","2025.03.18","1","2","","","","","1","","","","","",""
"Sabaragamuwa","","","","","","","","","","","","","","","",""
"","Nffhiy       
2","","","","","","","","","","","","","","",""
"","Yatiyanthota","Tree fallen","2025.03.17","1","4","","","","","1","","","","","",""
"","Kegalle","","","","","","","","","","","","","","",""
"","Rambukkana","Tree fallen / High Wind 2025.03.17","","20","75","","","","","20","","","","","",""
"","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","23","86","0","0","0","0","23","0","0","0","0","0",""
"","පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","","","29","117","0","0","0","0","29","0","0","0","0","0",""
"","අනුරාධපුර     
Kahatagasdigiliya","","2025.03.13","","","1","","","","","","","","","",""
"උතුරුමැද පලාත","3
m.Guk;.","Elephant attack","","","","","","","","","","","","","",""
"tlkj;jpa","Mihinthale","","2025.03.12","","","1","","","","","","","","","",""
"","Anuradhapura","","","","","","","","","","","","","","",""
"khfhzk;","","","","","","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","0","0","2","0","0","0","0","0","0","0","0","0",""
"North Central","","","","","","","","","","","","","","","",""
"","පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","","","0","0","2","0","0","0","0","0","0","0","0","0",""
"","Welivita Divithura","High Wind","2025.03.16","5","18","","","","","5","","","","","",""
"","ගාල්ල","","","","","","","","","","","","","","",""
"","4
          
Bope Poddala","Drowning","2025.03.14","","","2","","","","","","","","","",""
"","Galle","","","","","","","","","","","","","","",""
"","Elpitiya","High Wind","2025.03.16","10","38","","","","","10","","","","","",""
"","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","15","56","2","0","0","0","15","0","0","0","0","0",""
"දකුනු පලාත","","","","","","","","","","","","","","","",""
"njd; khfhzk;","Katuwana","High Wind","2025.03.11","4","13","","","","","4","","","","","",""
"","හම්බන්මතාට","","","","","","","","","","","","","","",""
"Southern","","","","","","","","","","","","","","","",""
"","5
`k;ghe;Njhl;il","","","","","","","","","","","","","","","Fisherman who came from"
"","Thissamaharama
Hambantota","Heavy Rain","2025.03.14","4","150","","","","","","","","","","","various areas for fishing"
"","","","","","","","","","","","","","","","","have been trapped."
"","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","8","163","0","0","0","0","4","0","0","0","0","0",""
"","පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","","","23","219","2","0","0","0","19","0","0","0","0","0",""
"","මන්නාරම","","","","","","","","","","","","","","",""
"","kd;dhH      
6
Nannatan","High Wind / Rain","2025.03.16","1","3","","","","","1","","","","","",""
"උතුරු පලාත","","","","","","","","","","","","","","","",""
"","Mannar","","","","","","","","","","","","","","",""
"tl khfhzk;","","","","","","","","","","","","","","","",""
"Northen","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","1","3","0","0","0","0","1","0","0","0","0","0",""
"","පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","","","1","3","0","0","0","0","1","0","0","0","0","0",""
"","මමානරාගල","","","","","","","","","","","","","","",""
"","7
Siyabalanduwa
nkhdwhfiy","Elephant attack","2025.03.13","1","","1","","","","","","","","","",""
"ඌව","","","","","","","","","","","","","","","",""
"Cth khfhzk;","Moneragala","","","","","","","","","","","","","","",""
