"","Weather Forecast for Main Cities","","","","7-Mar-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","",""
"","Max","Min","Max","Min",""
"Anuradhapura","34","24","95","45","Mainly fair"
"Batticaloa","31","25","95","75","Mainly fair"
"Colombo","32","26","85","65","Mainly fair"
"Galle","30","25","95","75","Mainly fair"
"Jaffna","32","24","95","60","Mainly fair"
"Kandy","32","21","95","45","Mainly fair"
"Nuwara-Eliya","23","10","65","40","Mainly fair"
"Ratnapura","35","24","95","50","Mainly fair"
"Trincomalee","31","23","95","60","Mainly fair"
"Mannar","33","24","95","65","Mainly fair"
