"","Weather Forecast for Main Cities","","","","2024-07-28"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","34","26","95","55","Mainly fair"
"Batticaloa","36","27","80","45","Mainly fair"
"Colombo","31","27","90","75","Several spells of showers"
"Galle","29","25","90","80","Showers at times"
"Jaffna","33","27","90","65","Mainly fair"
"Kandy","29","23","90","65","Several spells of showers"
"Nuwara-Eliya","18","15","90","75","Several spells of showers"
"Ratnapura","32","24","85","65","Showers at times"
"Trincomalee","36","26","85","50","Mainly fair"
"Mannar","32","28","80","75","Mainly fair"
