"Koralaipattu North","1948","6204","","","","","","","","","",""
"Koralaipattu west","125","432","","","","","","","","","",""
"Koralaipattu","","","","","","","","","","","",""
"Koralaipattu Central
මඩක඼පුල","548","1916","","","","","","","","","",""
"19
Drought
kl;lf;fsg;G 
Koralaipattu South","2019.04.17
1846","6135","","","","","","","","","",""
"Batticaloa","","","","","","","","","","","",""
"Eravur Pattu","3920","13595","","","","","","","","","",""
"Manmunai West","4183","14334","","","","","","","","","",""
"Manmunai South West","3951","12267","","","","","","","","","",""
"Poratheevupattu","5992","19552","","","","","","","","","",""
"දිස්ත්‍රික් එකතුල    khtl;l $l;Lj;njhif  District Total","22513","74435","0","0","0","0","0","0","0","0","0","0"
"පළාත් ඵකතුල khfhz $l;Lj;njhif Province Total","36553","152585","0","0","0","13","42","1","0","1","17","50"
"ලමොනර෈ග඼","","","","","","","","","","","",""
"20
Buttala
Drought
nkhdwhfiy","2019.04.08
340","1530","","","","","","","","","",""
"ඌල","","","","","","","","","","","",""
"Moneragala
Cth khfhzk","","","","","","","","","","","",""
"Uva","","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුල    khtl;l $l;Lj;njhif  District Total","340","1530","0","0","0","0","0","0","0","0","0","0"
"පළාත් ඵකතුල khfhz $l;Lj;njhif Province Total","340","1530","0","0","0","0","0","0","0","0","0","0"
"මුළු එකතුල   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","123082","447714","0","1","2","46","162","6","0","5","75","277"
