"මධයම ප඼෈ත","","","","","","","","","","","","","",""
"kj;jpa khfhzk;","","","","","","","","","","","","","",""
"","","Nuwara Eliya
Fire","2019.05.29
24","100","","","","24","","","","1","24","100 Holired School -"
"Central","","","","","","","","","","","","","","Nuwara eliya"
"","නුලරඑලිය","","","","","","","","","","","","",""
"","11
Etnuypah","","","","","","","","","","","","",""
"","Nuwara Eliya","Hanguranketha","8","36","","","","8","","","","","",""
"","","High wind","2019.06.11","","","","","","","","","","",""
"","","Kothmale","1","2","","","","1","","","","","",""
"","දිස්ත්‍රික් එකතුල    khtl;l $l;Lj;njhif  District Total","","33","138","0","0","0","33","0","0","0","1","24","100"
"","පළාත් ඵකතුල khfhz $l;Lj;njhif Province Total","","5007","19368","0","0","0","33","0","0","0","1","24","100"
"","","Hambantota","380","1490","","","","","","","","","",""
"","හම්බන්ලතොට","Tissamaharama","1587","7045","","","","","","","","","",""
"දකුනු ප඼෈ත/njd;","13
`k;ghe;Njhl;I","Drought
Okewela","2019.04.08
82","369","","","","","","","","","",""
"khfhzk;/","Hambantota","","","","","","","","","","","","",""
"","","Beliatta","50","192","","","","","","","","","",""
"Southern/ ;","","","","","","","","","","","","","",""
"","","Weeraketiya","50","220","","","","","","","","","",""
"","දිස෇ත්‍රික් එකතුල    khtl;l $l;Lj;njhif  District Total","","2149","9316","0","0","0","0","0","0","0","0","0","0"
"","පළාත් ඵකතුල khfhz $l;Lj;njhif Province Total","","2149","9316","0","0","0","0","0","0","0","0","0","0"
"","","Welikanda","2374","7791","","","","","","","","","",""
"","ලපොල඼ොන්නරුල","","","","","","","","","","","","",""
"","15
nghyd;dWit","Drought
Dimbulagala","2019.05.04
919","2510","","","","","","","","","",""
"","Polonnaruwa","","","","","","","","","","","","",""
"","","Lankapura","75","300","","","","","","","","","",""
"උතුරුම෉ද ප඼෈ත","","","","","","","","","","","","","",""
"tlkj;jpa","දිස්ත්‍රික් එකතුල    khtl;l $l;Lj;njhif  District Total","","3368","10601","0","0","0","0","0","0","0","0","0","0"
"khfhzk","අනුර෈ධපුර","","","","","","","","","","","","",""
"","","Palugaswewa","200","625","","","","","","","","","",""
"North Central","16
m.Guk;","Drought","2019.04.10","","","","","","","","","","",""
"","Anuradhapura","Padaviya","60","320","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුල    khtl;l $l;Lj;njhif  District Total","","260","945","0","0","0","0","0","0","0","0","0","0"
"","පළාත් ඵකතුල khfhz $l;Lj;njhif Province Total","","3628","11546","0","0","0","0","0","0","0","0","0","0"
"","","Thirukkovil","306","1110","","","","","","","","","",""
"","","Uhana","32","145","","","","","","","","","",""
"","","Dehiattakandiya","690","2570","","","","","","","","","",""
"","","Potuvil","1195","3738","","","","","","","","","",""
"","","Mahaoya","1574","5994","","","","","","","","","",""
"","","Ampara","96
2019.03.15","356","","","","","","","","","",""
"","අම්ප෈ර","Drought","","","","","","","","","","","",""
"","","Navithanveli","2649","8329","","","","","","","","","",""
"","17
mk;ghiw","","","","","","","","","","","","",""
"","Ampara","Nayadivembu","1078","3577","","","","","","","","","",""
"","","Akkaraipattu","62","204","","","","","","","","","",""
"","","Padiyathalawa","3168","11282","","","","","","","","","",""
"","","Damana","531","2124","","","","","","","","","",""
"","","Lahugala","2019.06.05
155","30528","","","","","","","","","",""
"","","Tonardo and","","","","","","","","","","","",""
"","","Padiyathalawa","2019.05.25
55","181","","","","13","42","1","","1","17","50"
"","","heavy rain","","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුල    khtl;l $l;Lj;njhif  District Total","","11591","70138","0","0","0","13","42","1","0","1","17","50"
"","","Kinniya","892","3221","","","","","","","","","",""
"න෉ලගනහිර ප඼෈ත","","","2019.04.08","","","","","","","","","","",""
"","","Verugal","152","482","","","","","","","","","",""
"fpof;F","","","","","","","","","","","","","",""
"","18
ත්‍රීකුණ෈ම඼ය","Thambalagamuwa","2019.04.10
102","413","","","","","","","","","",""
"Eastern","","","","","","","","","","","","","",""
"","","Drought","","","","","","","","","","","",""
"","jp.kiy","Kuchchaveli","2019.04.16
467","1561","","","","","","","","","",""
"","Trincomalee","Muthur","2019.04.22
169","569","","","","","","","","","",""
"","","Kanthale","2019.06.12
664","1758","","","","","","","","","",""
"","","Gomarankadawala
High Wind","2019.06.06
3","8","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුල    khtl;l $l;Lj;njhif  District Total","","2449","8012","0","0","0","0","0","0","0","0","0","0"
