"","Weather Forecast for Main Cities","","","Date :","4-Aug-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","30","23","95","55","Showers or thundershowers after 2.00p.m"
"Batticaloa","31","25","90","60","Showers or thundershowers after 2.00p.m"
"Colombo","30","26","90","75","Several spells of showers"
"Galle","29","25","90","75","Several spells of showers"
"Jaffna","31","25","90","65","Showers or thundershowers after 2.00p.m"
"Kandy","27","23","95","65","Several spells of showers"
"Nuwara-Eliya","18","14","95","75","Several spells of showers"
"Ratnapura","30","24","95","75","Several spells of showers"
"Trincomalee","31","24","95","60","Showers or thundershowers after 2.00p.m"
"Mannar","31","26","90","70","Several spells of showers"
