"","khtl;lk ; 
gpuNjr nra.gp","FLk;gq;f","egHfs;","","","","","","","","","FLk;gq;","egHfs;"
"","","","","","","","KOik","sT","Kaw;rpfs;","fl;likg;Gf;fs;","if","",""
"","District
  DS Division","s;","People","","","g","","","","","","fs;","Persons"
"","","","","","People","","","Partiall","Small, Medium,","Damages to","Safety","",""
"","","","","","","","Fully","","","","","",""
"","","Families","","","","People","","","","","","Families",""
"","","","","","","","","y","Enterprises","critical","Location","",""
"","","","","","","","","","Damages","Infastructure","","",""
"","","","","","","","","","","","s","",""
"","Deraniyagala","12","52","","","","","","","","","",""
"","","2019.01.24","","","","","","","","","","",""
"","Galigamuwa","145","567","","","","","","","","","",""
"","කෑගල්ල","","","","","","","","","","","",""
"1","Nffhiy  
Drought
Kegalle","2019.01.16
26","60","","","","","","","","","",""
"සබරගමුව පලාත","","","","","","","","","","","","",""
"","Kegalle","","","","","","","","","","","",""
"rg;ufKt","","","","","","","","","","","","",""
"","Bulathkohupitiya","97","382","","","","","","","","","",""
"Sabaragamuwa","","2019.01.22","","","","","","","","","","",""
"","Ruwanwella","92","458","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","372","1519","0","0","0","0","0","0","0","0","0","0"
"","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","372","1519","0","0","0","0","0","0","0","0","0","0"
"","පුත්තලම","","","","","","","","","","","",""
"","Dankotuwa","13","52","","","","","","","","","",""
"2
වයඹ පලාත","Drought
Gj;jsk;","2019.01.24","","","","","","","","","","",""
"tlNky;","Arachchikattuwa
Puttalam","226","821","","","","","","","","","",""
"khfhzk;","","","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","239","873","0","0","0","0","0","0","0","0","0","0"
"North Western","","","","","","","","","","","","",""
"","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","239","873","0","0","0","0","0","0","0","0","0","0"
"","නුවරඑලිය","","","","","","","","","","","",""
"3","Nuwaraeliya
High Wind
Etnuypah","2019.02.21
1","5","","","","","1","","","","",""
"මධයම පලාත","","","","","","","","","","","","",""
"","Nuwara Eliya","","","","","","","","","","","",""
"kj;jpa khfhzk","","","","","","","","","","","","",""
"Central","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","1","5","0","0","0","0","1","0","0","0","0","0"
"","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","1","5","0","0","0","0","1","0","0","0","0","0"
"","ගාල්ල","","","","","","","","","","","",""
"4","Akmeemana
Drowning
fhyp","2019.02.20","","1","","","","","","","","",""
"දකුනු පලාත","","","","","","","","","","","","",""
"","Galle","","","","","","","","","","","",""
"njd; khfhzk;","","","","","","","","","","","","",""
