"","Weather Forecast for Main Cities","","","","10-Feb-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","",""
"","Max","Min","Max","Min",""
"Anuradhapura","32","23","95","50","Mainly fair"
"Batticaloa","30","24","90","70","Mainly fair"
"Colombo","31","23","90","60","Mainly fair"
"Galle","32","23","95","55","Mainly fair"
"Jaffna","30","24","95","65","Mainly fair"
"Kandy","30","18","95","45","Mainly fair"
"Nuwara-Eliya","21","13","55","30","Mainly fair"
"Ratnapura","33","20","95","50","Mainly fair"
"Trincomalee","30","25","80","65","Mainly fair"
"Mannar","31","24","85","65","Mainly fair"
