"","Weather Forecast for Main Cities","","","Date :","18-Jun-2025"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","",""
"","Max","Min","Max","Min",""
"Anuradhapura","33","25","90","70","Mainly fair"
"Batticaloa","34","27","85","55","Mainly fair"
"Colombo","31","23","95","80","Several spells of showers"
"Galle","30","24","95","80","Several spells of showers"
"Jaffna","32","26","85","70","Mainly fair"
"Kandy","28","22","90","75","Several spells of showers"
"Nuwara-Eliya","18","15","95","85","Several spells of showers"
"Ratnapura","32","23","95","70","Showers at times"
"Trincomalee","34","26","85","60","Mainly fair"
"Mannar","32","27","85","70","Mainly fair"
