"Buttala
Flood
Moneragala","2023.10.16
7","26","","","","","","","","","",""
"දිසරික් එකතුව/khtl;l $l;Lj;njhif/District Total","8","32","0","0","0","0","1","0","0","0","0","0"
"පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","322","1231","1","0","0","0","43","2","0","5","127","451"
"Akuressa","31","130","","","","11","29","","","","",""
"Thihagoda","95","427","","","","","37","","","","",""
"Malimbada","126","609","","","","","13","","","","",""
"Devinuwara","54","243","","","","","48","","","","",""
"Weligama","38","153","","","","","22","","","","",""
"Kamburupitiya","39","175","","","","","39","","","","",""
"Athuraliya","12","42","","","","","15","","","","",""
"මාතර","2023.09.28 to","","","","","","","","","","",""
"Kirinda","41","156","","","","","41","","","","",""
"khj;jiw   
5
Flood","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"Pasgoda
Matara","10
2023.10.09 ****","35","","","","","10","","","","",""
"Hakmana","72","275","","","","","72","","","","",""
"Matara","545","1965","","","","7","119","","","1","19","70 Hiththetiya Temple"
"Pitabeddara","38","143","","","","","24","","","","",""
"Mulatiyana","19","77","","","","","11","","","","",""
"Kotapola","9","45","","","","","7","","","","",""
"Dickwella","110","415","","","","","110","","","","",""
"Welipitiya","34","120","","","","2","25","","","","",""
"දිසරික් එකතුව/khtl;l $l;Lj;njhif/District Total","1273","5010","0","0","0","20","622","0","0","1","19","70"
