"","","","","High Wind &","","","","","","","","","","","","",""
"","","","Polpithigama","","","11","44","","","","1","1","","","","",""
"","","","","Heavy Rain","","","","","","","","","","","","",""
"වයඹ පලාත","","","","","","","","","","","","","","","","",""
"","","","Bingiriya","","","1","2","","","","","","","","","",""
"tlNky; khfhzk;","","කුරුණෑගල","","Flash Flood","","","","","","","","","","","","",""
"","7","","Nikaweratiya","","2019.10.20","22","80","","","","","","","","","",""
"North Western","","FUdhfy;","","","","","","","","","","","","","","",""
"","","Kurunegala","Kuliyapitiya East","High Wind","","3","11","","","","","3","","","","",""
"","","","Ibbagamuwa","Lightning","","1","4","","","","","1","","","","",""
"","","","Kuliyapitiya West","High Wind","","1","2","","","","","1","","","","",""
"","","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","","39","143","0","0","0","1","6","0","0","0","0","0"
"","","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","","67","246","0","0","0","1","13","0","0","0","0","0"
"","","හම්බන්තාට","","Cutting Failure/","","","","","","","","","","","","",""
"","8","`k;ghe;Njhl;il","Walasmulla","Lightning / High","2019.10.20","6","19","","","","","6","","","","",""
"දකුනු පලාත  njd;","","","","","","","","","","","","","","","","",""
"","","Hambantota","","Wind","","","","","","","","","","","","",""
"khfhzk;","","","","","","","","","","","","","","","","",""
"Southern","","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","","6","19","0","0","0","0","6","0","0","0","0","0"
"","","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","","6","19","0","0","0","0","6","0","0","0","0","0"
"","","","Biyagama","Flood","2019.10.22","93","410","","","","","3","","","","",""
"","","","Divulapitiya","High Wind","2019.10.20","2","9","","","","","2","","","","",""
"","","","Kelaniya","","","1062","4799","","","","","","","","3","374","1661"
"","","","","Flood","2019.10.22","","","","","","","","","","","",""
"","","ගම්පහ","Wattala","","","628","2549","","","","","1","","","","",""
"","9","","","","","","","","","","","","","","","",""
"Western","","fk;g`h Gampaha","Mirigama","High wind","2019.10.20","2","9","","","","","2","","","","",""
"Nky; khfhzk","","","","","","","","","","","","","","","","",""
"","","","","","2019.10.21","2","11","","","","1","1","1","","","",""
"","","","Dompe","","","","","","","","","","","","","",""
";බස්ත්‍රනාහිර පලාත","","","","","","","","","","","","","","","","",""
"","","","","Flood","2019.10.22","5","20","","","","","","","","","",""
"","","","Gampaha","","2019.10.22","12","60","","","","","","","","","",""
"","","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","","1806","7867","0","0","0","1","9","1","0","3","374","1661"
