"පුත්තලම","","","","","","","","","","","","","",""
"6
Arachchikattuwa
Gj;jsk;","High wind","2019.01.01","","2","","","","","1","","","","",""
"Puttalam","","","","","","","","","","","","","",""
"වයඹ පලාත","","","","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","0","2","0","0","0","0","1","0","0","0","0","0"
"tlNky;","","","","","","","","","","","","","",""
"Mawathagama","","2018.12.23","1","3","","","","","1","","","","",""
"khfhzk; 
කුරුනෑගල","Heavy Rain","","","","","","","","","","","","",""
"7
FUdhfy; 
North 
Polpithigama","","2018.12.26","1","","","1","","","1","","","","",""
"Kurunegala
Western","","","","","","","","","","","","","",""
"Narammala","High wind","2018.12.22","1","4","","","","","1","","","","",""
"දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","3","7","0","1","0","0","3","0","0","0","0","0"
"පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","3","9","0","1","0","0","4","0","0","0","0","0"
"katana","","2018.12.24","46","185","","","","","46","","","","",""
"ගම්පහ","","","","","","","","","","","","","",""
"බස්නාහිර 
Aththanagalla","","2018.12.25","4","20","","","","","4","","","","",""
"8
fk;g`h","High Wind","","","","","","","","","","","","",""
"පලාත","","","","","","","","","","","","","",""
"Negombo
Gampaha","","2018.12.24","51","211","","","","","51","","","","",""
"Nky;","","","","","","","","","","","","","",""
"meerigama
khfhzk;","","2018.12.23","1","2","","","","","1","","","","",""
"දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total
Western","","","102","418","0","0","0","0","102","0","0","0","0","0"
"පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","102","418","0","0","0","0","102","0","0","0","0","0"
"Kegalle
කෑගල්ල","Tree fallen","2018.12.26","1","5","","","","1","","","","","",""
"සබරගමුව","","","","","","","","","","","","","",""
"9
Aranayake
Nffhiy","Cutting Failure","","2","9","","","","1","","","","","",""
"පලාත","","2018.12.24","","","","","","","","","","","",""
"Kegalle","","","","","","","","","","","","","",""
"rg;ufKt 
Ruwanwella","Wind","","9","47","","","","","","","","","",""
"Sabaragam","","","","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","12","61","0","0","0","2","0","0","0","0","0","0"
"uwa","","","","","","","","","","","","","",""
"පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","12","61","0","0","0","2","0","0","0","0","0","0"
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","","40202","125251","2","5","0","501","4636","9","0","2","20","113"
"","","","","","රාජකාරි භාර නිළධ්‍ාරි / flik mjpfhhp / Duty Officer : 011 2670002","","","","","","","","",""
