"","Weather Forecast for Main Cities","","","","2024-08-21"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","34","25","90","65","Showers or thundershowers are likely after 2.00p.m"
"Batticaloa","34","26","95","60","Showers or thundershowers after 2.00p.m"
"Colombo","29","25","95","75","Showers or thundershowers at times"
"Galle","29","25","95","85","Showers or thundershowers at times"
"Jaffna","32","27","90","75","Showers or thundershowers are likely after 2.00p.m"
"Kandy","31","22","90","65","Showers or thundershowers at times"
"Nuwara-Eliya","22","15","95","75","Showers or thundershowers at times"
"Ratnapura","32","23","95","80","Showers or thundershowers at times"
"Trincomalee","33","25","95","60","Showers or thundershowers after 2.00p.m"
"Mannar","31","27","95","75","Showers or thundershowers after 2.00p.m"
