"","Weather Forecast for Main Cities","","","","3-Dec-2023"
"","","Temperature (0C)","Relative Humidity (%)","",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","29","24","95","80","Showers or thundershowers at times"
"Batticaloa","29","25","95","80","Showers or thundershowers at times"
"Colombo","30","25","95","70","Showers or thundershowers"
"Galle","30","25","95","75","Showers or thundershowers"
"Jaffna","29","24","95","80","Showers or thundershowers at times"
"Kandy","27","22","95","80","Showers or thundershowers"
"Nuwara-Eliya","20","13","95","85","Showers or thundershowers"
"Ratnapura","31","23","95","80","Showers or thundershowers"
"Trincomalee","29","24","95","85","Showers or thundershowers at times"
"Mannar","29","25","95","75","Showers or thundershowers at times"
