"න්‍ගරය","","","","","කාලගුණය"
"","උපරිම","අවම","උපරිම","අවම",""
"අනුරාධ්‍පුරය","33","26","90","60","ප්‍රධ්‍ාන වශහයන් වැසි රහිත"
"මඩකලපුව","35","26","80","55","ප්‍රධ්‍ාන වශහයන් වැසි රහිත"
"හකාළඹ","30","24","95","80","විටින් විට වැසි"
"ගාල්ල","29","25","90","80","විටින් විට වැසි"
"යාපනය","32","28","80","75","ප්‍රධ්‍ාන වශහයන් වැසි රහිත"
"ම නුවර","28","23","95","85","විටින් විට වැසි"
"නුවරඑළිය","18","15","95","85","විටින් විට වැසි"
"රත්නපුරය","30","24","95","85","විටින් විට වැසි"
"ිකුණාමලය","34","27","85","50","ප්‍රධ්‍ාන වශහයන් වැසි රහිත"
