"","","","","","","","","","","","","","ස්ත්‍ංඛ්‍යාව",""
"","","","ස්ත්‍ංඛ්‍යාව","","","","","හානි","gFjpas","நிறுவனங் க","","","",""
"","gpuNjr nra.gp        
மாவட்டம்","","","egHfs;","","People","People","","","","fl;likg;Gf;fs;","vz;zpf;i","FLk;gq;f","egHfs;"
"","","","FLk;gq;fs;","","","","","KOik","T","ளின்","","","",""
"","","","","People","","","","","","","Damages to","f   No.","s;","Persons"
"","DS Division
District","","Families","","","","","Fully","Partially","சேதங் கள்","","","",""
"","","","","","","","","","","","critical","of Safety","Families",""
"","","","","","","","","","","Small, Medium,","","","",""
"","","","","","","","","","","","Infrastructure","Locations","",""
"","","","","","","","","","","Enterprises","","","",""
"","","","","","","","","","","Damages","","","",""
"","Kinniya","","4","20","","2","","0","1","","","","",""
"","ත්‍රීකුණාමලය","","","","","","","","","","","","",""
"","1
Gomarankadawala
jp.kiy","Lightning
2021.09.17","1","5","","1","","","1","","","","",""
"නැවෙනහිර","","","","","","","","","","","","","",""
"පලාත","Trincomalee","","","","","","","","","","","","",""
"","Morawewa","","1","2","","","","","1","","","","",""
"fpof;F","","","","","","","","","","","","","",""
"Eastern","දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total","","6","27","0","3","0","0","3","0","0","0","0","0"
"","පළාත් ඵකතුෙ khfhz $l;Lj;njhif  Province Total","","6","27","0","3","0","0","3","0","0","0","0","0"
"","වපාවලාන්නරු","","","","","","","","","","","","",""
"","ෙ","","","","","","","","","","","","",""
"උතුරුමැද","","High Wind &","","","","","","","","","","","",""
"","2
Higurakgoda
nghyd;dWi","","2021.09.18
7","29","","","","","7","","","","",""
"පලාත","","Heavy Rain","","","","","","","","","","","",""
"","t","","","","","","","","","","","","",""
"tlkj;jpa","","","","","","","","","","","","","",""
"","Polonnaruwa","","","","","","","","","","","","",""
"khfhzk;","","","","","","","","","","","","","",""
"North Central","","","","","","","","","","","","","",""
"","දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total","","7","29","0","0","0","0","7","0","0","0","0","0"
"","පළාත් ඵකතුෙ khfhz $l;Lj;njhif  Province Total","","7","29","0","0","0","0","7","0","0","0","0","0"
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","","13","56","0","3","0","0","10","0","0","0","0","0"
