"","Weather forecast for main cities","","","Date :","14-Dec-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","31","24","95","80","Several spells of showers"
"Batticaloa","30","25","95","80","Several spells of showers"
"Colombo","31","26","95","75","Showers or thundershowers after 2.00p.m"
"Galle","29","25","95","75","Several spells of showers"
"Jaffna","30","24","95","80","Showers or thundershowers are likely after 2.00p.m"
"Kandy","30","22","95","72","Showers or thundershowers are likely after 2.00p.m"
"Nuwara-Eliya","22","14","95","75","Showers or thundershowers after 2.00p.m"
"Ratnapura","33","24","95","75","Showers or thundershowers after 2.00p.m"
"Trincomalee","33","24","95","85","Several spells of showers"
"Mannar","30","25","95","85","Showers or thundershowers at times"
