"","Weather Forecast for Main Cities","","","","11-Mar-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","34","24","95","35","Mainly fair"
"Batticaloa","31","24","95","70","Mainly fair"
"Colombo","31","26","85","60","Mainly fair"
"Galle","32","25","85","70","Showers or thundershowers are likely after 2.00p.m"
"Jaffna","32","24","85","55","Mainly fair"
"Kandy","33","19","90","35","Mainly fair"
"Nuwara-Eliya","22","12","65","35","Mainly fair"
"Ratnapura","35","23","95","50","Showers or thundershowers are likely after 2.00p.m"
"Trincomalee","32","24","95","55","Mainly fair"
"Mannar","33","24","95","70","Mainly fair"
