"","","","","Date :","7-Mar-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","35","23","90","50","Mainly fair"
"Batticaloa","30","23","90","70","Mainly fair"
"Colombo","32","24","90","60","Mainly fair"
"Galle","31","25","90","70","Showers or thundershowers are likely after 4.00p.m"
"Jaffna","33","22","90","70","Mainly fair"
"Kandy","33","18","95","40","Mainly fair"
"Nuwara-Eliya","21","7","80","50","Mainly fair"
"Ratnapura","36","23","90","55","Showers or thundershowers are likely after 2.00p.m"
"Trincomalee","31","22","90","65","Mainly fair"
"Mannar","33","24","90","60","Mainly fair"
