"","","commenced","","","","","Injured","Missing","","gFjpasT","நிறுவனங்களின்","fl;likg;Gf;fs;","vz;zpf;i","","egHfs;"
"","gpuNjr nra.gp     DS","","FLk;gq;fs;","","egHfs;","","","","","","","","","FLk;gq;f",""
"மாவட்டம் District","","","","","","","People","People","KOik","","சேதங்கள்; Small,","","","",""
"","","","Families","","People","","","","","Partially","","Damages to","f   No.","s;","Persons"
"","Division","","","","","","","","Fully","","","","","",""
"","","","","","","","","","","","Medium,","critical","of Safety","Families",""
"","","","","","","","","","","","Enterprises","Infrastructure","Locations","",""
"","","","","","","","","","","","Damages","","","",""
"","Thissamaharamaya","2024.09.12","","1","","5","","","","1","","","","",""
"","Thangalla","2024.09.18","","1","","4","","","","1","","","","",""
"හම්බනවතාට","High Wind","","","","","","","","","","","","","",""
"`k;ghe;Njhl;il 
1","Weeraketiya","2024.09.23","","1","","4","","","","1","","","","",""
"දකුණු පලාත","","","","","","","","","","","","","","",""
"Hambantota","","","","","","","","","","","","","","",""
"njd; khfhzk;","","","","","","","","","","","","","","",""
"","Walasmulla","2024.09.24","","1","","3","","","","1","","","","",""
"Southern","","","","","","","","","","","","","","",""
"","Katuwana
Fire","2024.09.14","","1","","4","","","1","","","","","",""
"","දිස්ික් එකතුෙ/khtl;l $l;Lj;njhif/District Total","","","5","","20","0
0","0","1","4","0","0","0","0","0"
"","පළාත් ඵකතුෙ/ khfhz $l;Lj;njhif/Province Total","","","5","","20","0
0","0","1","4","0","0","0","0","0"
"ත්‍රීකුණාමලය","","","","","","","","","","","","","","",""
"2
jp.kiy","Kanthale
High Wind","2024.09.25","","1","","4","","","","1","","","","",""
"නැවෙනහිර පලාත","","","","","","","","","","","","","","",""
"Trincomalee","","","","","","","","","","","","","","",""
"fpof;F       Eastern","","","","","","","","","","","","","","",""
