"","","","Relative","Humidity",""
"","","Temperature (0C)","","",""
"City","","","(%)","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","32","23","90","60","Mainly fair"
"Batticaloa","32","25","85","65","Showers or thundershowers are likely after 2.00p.m"
"Colombo","31","25","95","70","Showers at times"
"Galle","29","26","95","80","Showers at times"
"Jaffna","31","22","95","70","Several spells of showers"
"Kandy","29","21","95","65","Showers at times"
"Nuwara-Eliya","20","12","95","70","Showers at times"
"Ratnapura","33","23","95","60","Showers at times"
"Trincomalee","32","24","85","55","Mainly fair"
"Mannar","30","27","85","75","Several spells of showers"
