"","","Monaragala","","2019.07.01","1070","2280"
"","","Siyabalanduwa","","2019.07.01","1535","5327"
"","","Thanamalwila","","2019.06.27","766","2418"
"","නමොනර෈ග඼","Badalkumbura","","2019.06.27","355","1340"
"19","nkhdwhfiy","Madagama","Drought","2019.06.19","5207","17091"
"ඌල","","","","","",""
"Cth khfhzk","Moneragala","Katharagama","","2019.05.23","350","1130"
"Uva","","Buttala","","2019.04.04","340","1530"
"","","Bibila","","2019.06.15","2088","5560"
"","","Madulla","","2019.06.03","332","1180"
"","දිස්ත්‍රික් එකතුල    khtl;l $l;Lj;njhif  District Total","","","","12043","37856"
