"ගම්පහ","04","","0","0","0","0","0","0","","0","ක්‍රියාන්ිත 
14","පාළන 
0","177","701","96","475"
"","","ගංවතුර /","","","","","","","","","","","","","",""
"රත්තනපුර","04","තද","30","107","0","0","0","0","","1","8","0","54","196","305","1160"
"දකාළඹ","05","වර්ෂාපත","7","26","0","0","0","0","","6","14","0","176","743","0","0"
"පුත්තතලම","02","නය /","0","0","0","0","0","0","","0","2","0","5","18","716","2326"
"කළුතර","03","දැඩි සුළං","0","0","0","0","0","0","","0","4","0","29","91","0","0"
"කෑගේල","","/  නාය","","","","","","","","","","","","","54","229"
"","01","","0","0","0","0","0","0","","0","1","0","6","28","",""
"","","යාම්","","","","","","","","","","","","","",""
"මහනුවර","01","","0","0","0","0","0","0","","0","1","0","11","31","0","0"
"එකතුව","20","","37","133","0","0","0","0","7","","44","0","458","1808","1171","4190"
