"","Weather Forecast for Main Cities","","","","4-Apr-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","36","26","90","50","Showers or thundershowers after 2.00p.m"
"Batticaloa","34","26","90","70","Mainly fair"
"Colombo","33","26","85","75","Showers or thundershowers after 2.00p.m"
"Galle","33","26","90","65","Showers or thundershowers after 2.00p.m"
"Jaffna","33","27","90","65","Showers or thundershowers are likely after 2.00p.m"
"Kandy","32","22","95","50","Showers or thundershowers after 2.00p.m"
"Nuwara-Eliya","24","13","90","60","Showers or thundershowers are likely after 2.00p.m"
"Ratnapura","36","24","95","50","Showers or thundershowers after 2.00p.m"
"Trincomalee","36","26","90","60","Mainly fair"
"Mannar","33","27","90","65","Showers or thundershowers after 2.00p.m"
