"","ප්‍රධාන  නගර සදහා කාලගුණ අනාවැකිය","","","දිනය :     2024-04-04",""
"","","උෂ්ණත්වය(සස. අංශක)","","සාසේක්ෂ ආර්ද්‍රතාවය(%)",""
"නගරය","","","","","කාලගුණය"
"","උපරිම","අවම","උපරිම","අවම",""
"අනුරාධපුරය","36","26","90","50","සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ"
"මඩකලපුව","34","26","90","70","ප්‍රධාන වශහයන් වැසි රහිත"
"හකාළඹ","33","26","85","75","සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ"
"ගාල්ල","33","26","90","65","සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ"
"","","","","","සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති  විය"
"යාපනය","33","27","90","65",""
"","","","","","ැක"
"ම නුවර","32","22","95","50","සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ"
"","","","","","සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති  විය"
"නුවරඑළිය","24","13","90","60",""
"","","","","","ැක"
"රත්නපුරය","36","24","95","50","සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ"
"ත්‍රිකුණාමලය","36","26","90","60","ප්‍රධාන වශහයන් වැසි රහිත"
"මන්නාරම","33","27","90","65","සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ"
