"","Weather Forecast for Main Cities","","","","2024-08-07"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","37","24","95","50","Showers or thundershowers are likely after 2.00p.m"
"Batticaloa","32","25","90","70","Showers or thundershowers after 2.00p.m"
"Colombo","31","26","90","70","Several spells of light showers"
"Galle","30","26","90","75","Several spells of showers"
"Jaffna","35","25","90","55","Showers or thundershowers are likely after 2.00p.m"
"Kandy","30","22","95","65","A few showers"
"Nuwara-Eliya","22","15","95","75","A few showers"
"Ratnapura","33","23","95","75","Several spells of showers"
"Trincomalee","34","25","95","60","Showers or thundershowers after 2.00p.m"
"Mannar","33","27","90","65","A few showers"
