"","Weather Forecast for Main Cities","","","","2024-08-10"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","33","25","95","65","Showers or thundershowers are likely after 2.00p.m"
"Batticaloa","32","25","95","75","Showers or thundershowers after 2.00p.m"
"Colombo","31","25","90","70","Showers at times"
"Galle","29","25","95","75","Several spells of light showers"
"Jaffna","33","24","95","65","Showers or thundershowers are likely after 2.00p.m"
"Kandy","29","22","95","70","Showers or thundershowers are likely after 2.00p.m"
"Nuwara-Eliya","20","14","95","55","Showers or thundershowers are likely after 2.00p.m"
"Ratnapura","32","23","95","70","Showers or thundershowers are likely after 2.00p.m"
"Trincomalee","33","25","95","60","Showers or thundershowers after 2.00p.m"
"Mannar","31","26","95","75","Showers or thundershowers are likely after 2.00p.m"
