"","Weather Forecast for Main Cities","","","Date :","18-Jan-2025"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","28","24","95","75","Showers or thundershowers at times"
"Batticaloa","27","25","90","80","Showers or thundershowers at times"
"Colombo","31","24","85","65","Showers or thundershowers at times"
"Galle","30","24","90","75","Showers or thundershowers are likely after 2.00p.m"
"Jaffna","28","24","90","80","Showers or thundershowers at times"
"Kandy","25","20","95","80","Showers or thundershowers at times"
"Nuwara-Eliya","14","12","95","70","Showers or thundershowers at times"
"Ratnapura","31","22","95","70","Showers or thundershowers after 2.00p.m"
"Trincomalee","28","24","90","80","Showers or thundershowers at times"
"Mannar","29","26","95","75","Showers or thundershowers at times"
