"","#NAME?","","","Date :","15-Dec-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","34","24","95","60","Several spells of showers"
"Batticaloa","31","24","95","75","Several spells of showers"
"Colombo","32","25","95","65","A few showers"
"Galle","31","26","95","75","Showers or thundershowers are likely after 2.00p.m"
"Jaffna","31","24","95","80","Several spells of showers"
"Kandy","30","20","95","70","A few showers"
"Nuwara-Eliya","21","12","95","75","A few showers"
"Ratnapura","33","23","95","75","Showers or thundershowers are likely after 2.00p.m"
"Trincomalee","31","25","95","65","Several spells of showers"
"Mannar","30","26","95","80","Several spells of showers"
