"","Weather Forecast for Main Cities","","","","14-Oct-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","30","24","95","70","Showers or thundershowers after 2.00p.m"
"Batticaloa","30","25","95","70","Showers or thundershowers after 2.00p.m"
"Colombo","27","24","95","80","Showers or thundershowers at times"
"Galle","28","25","95","75","Showers or thundershowers at times"
"Jaffna","30","24","95","75","Showers or thundershowers at times"
"Kandy","25","21","95","75","Showers or thundershowers at times"
"Nuwara-Eliya","16","14","95","80","Showers or thundershowers at times"
"Ratnapura","28","23","95","80","Showers or thundershowers at times"
"Trincomalee","30","25","95","70","Showers or thundershowers at times"
"Mannar","29","24","95","75","Showers or thundershowers at times"
