"","","","","","Page 2","","","","","","","","",""
"Nawagaththegama
පුත්තලම Gj;jsk;","High wind","","1","5","","","","","","1","","","",""
"වයඹ පලාත 
8","","2020.02.22","","","","","","","","","","","",""
"Puttalam
tlNky; 
Mahakumbukkadawala","Fire","","1","4","","","","1","","","","","",""
"khfhzk  ; North","","","","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","2","9","0","0","0","1","0","1","0","0","0","0"
"Western","","","","","","","","","","","","","",""
"පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","2","9","0","0","0","1","0","1","0","0","0","0"
"Baddegama","Drowning","2020.02.26","","","1","","","","","","","","",""
"9
ගාල්ල/fhyp/Galle
දකුණු පලාත/njd;","","","","","","","","","","","","","",""
"khfhzk;/","","","","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","0","0","1","0","0","0","0","0","0","0","0","0"
"Southern/ ;","","","","","","","","","","","","","",""
"පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","0","0","1","0","0","0","0","0","0","0","0","0"
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","","55231","231451","1","0","0","10","1","1","0","3","15","75"
"","","","","","රාජකාරි භාර නිළධ්‍ාරි / flik mjpfhhp / Duty Officer : 011 2670002","","","","","","","","",""
